Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,104.12,109.27,87.69,83.01,95.35
Total Revenue,104.12,109.27,87.69,83.01,95.35
"Selling/General/Admin. Expenses, Total",33.40,34.79,31.24,26.82,30.25
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.87,-0.28,0.60,-0.25,-0.22
"Other Operating Expenses, Total",4.42,6.02,4.70,6.03,6.82
Total Operating Expense,89.99,101.06,86.70,83.08,91.18
Operating Income,14.13,8.21,1.00,-0.08,4.18
"Interest Inc.(Exp.),Net-Non-Op., Total",1.03,0.88,-0.22,0.29,0.88
"Other, Net",0,0,0,0,0
Net Income Before Taxes,15.16,9.09,0.77,0.21,5.06
Provision for Income Taxes,2.41,1.16,-0.58,-0.64,0.96
Net Income After Taxes,12.76,7.93,1.36,0.85,4.10
Net Income Before Extra. Items,12.76,7.93,1.36,0.85,4.10
Net Income,12.76,7.93,1.36,0.85,4.10
Income Available to Com Excl ExtraOrd,12.76,7.93,1.36,0.85,4.10
Income Available to Com Incl ExtraOrd,12.76,7.93,1.36,0.85,4.10
Diluted Net Income,12.76,7.93,1.36,0.85,4.10
Diluted Weighted Average Shares,225.49,225.77,226.13,226.24,226.24
Diluted EPS Excluding ExtraOrd Items,0.06,0.04,0.01,0.00,0.02
DPS - Common Stock Primary Issue,0.02,0.02,0.00,0.02,0
Diluted Normalised EPS,0.05,0.03,0.01,0.00,0.03
