Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,15.16,9.09,0.77,0.21,5.06
Depreciation/Depletion,6.05,6.48,6.36,6.24,6.34
Non-Cash Items,-4.11,2.38,-1.36,-1.38,2.95
Cash Taxes Paid,1.64,0.92,1.31,-0.23,0.47
Changes in Working Capital,-8.30,-0.09,5.42,-4.79,7.04
Cash from Operating Activities,8.85,18.03,11.43,0.45,21.80
Capital Expenditures,-3.97,-5.61,-3.39,-2.99,-3.08
"Other Investing Cash Flow Items, Total",1.02,0.27,0.89,0.90,-0.11
Cash from Investing Activities,-2.95,-5.34,-2.50,-2.08,-3.20
Total Cash Dividends Paid,-10.23,-10.24,0.00,-2.06,-4.11
"Issuance (Retirement) of Stock, Net",0.01,0.07,0.21,0.00,0
Cash from Financing Activities,-9.72,-11.95,-0.02,-1.63,-5.06
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-3.82,0.74,8.91,-3.26,13.55
