Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,0.00,0.00,0.00,0.00,0.00
Total Revenue,0.00,0.00,0.00,0.00,0.00
"Selling/General/Admin. Expenses, Total",4.77,5.94,5.25,4.70,5.45
Depreciation/Amortisation,0.01,0.01,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",0.00,-1.52,-1.41,-1.85,-5.86
Total Operating Expense,4.78,29.48,3.85,2.84,-0.41
Operating Income,-4.78,-29.48,-3.85,-2.84,0.41
"Interest Inc.(Exp.),Net-Non-Op., Total",0.00,0.00,-21.53,-33.45,-3.05
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-4.78,-29.48,-25.37,-36.30,-2.64
Provision for Income Taxes,0.00,0.00,0.04,0.00,0.10
Net Income After Taxes,-4.78,-29.48,-25.41,-36.30,-2.74
Net Income Before Extra. Items,-4.82,-20.75,-17.85,-24.65,5.53
Net Income,-67.80,111.67,-17.85,-24.65,5.53
Income Available to Com Excl ExtraOrd,-4.82,-20.75,-17.85,-24.65,5.53
Income Available to Com Incl ExtraOrd,-67.80,111.67,-17.85,-24.65,5.53
Diluted Net Income,-67.80,111.67,-17.85,-24.65,5.53
Diluted Weighted Average Shares,203.46,203.46,203.46,203.46,203.46
Diluted EPS Excluding ExtraOrd Items,-0.02,-0.10,-0.09,-0.12,0.03
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.02,-0.10,-0.09,-0.12,0.03
