Fiscal Year,2017,2018,2019,2019.1,2020
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,408.48,496.92,517.47,408.55,494.24
Depreciation/Depletion,0.02,0,0,0,0
Non-Cash Items,151.40,84.21,80.94,87.46,221.18
Cash Taxes Paid,6.66,24.68,5.73,3.61,6.40
Changes in Working Capital,-30.63,-42.24,14.02,93.10,14.07
Cash from Operating Activities,529.27,538.89,612.43,589.11,729.48
Capital Expenditures,0.00,0,0,0,0
"Other Investing Cash Flow Items, Total",-137.64,-275.11,-1027.79,-1724.66,-985.39
Cash from Investing Activities,-137.64,-275.11,-1027.79,-1724.66,-985.39
Total Cash Dividends Paid,-500.89,-294.59,-463.08,-501.90,-597.88
"Issuance (Retirement) of Stock, Net",154.69,0.00,452.14,1309.85,1196.49
Cash from Financing Activities,-426.14,-308.06,444.41,1185.79,478.50
Foreign Exchange Effects,0.27,-0.66,-1.18,-0.60,0.83
Net Change in Cash,-34.24,-44.95,27.87,49.63,223.42
