Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,9.29,11.16,3.84,0.82,-7.89
Depreciation/Depletion,7.23,6.81,6.73,3.91,4.79
Non-Cash Items,1.74,-3.63,0.63,-2.42,-2.79
Cash Taxes Paid,2.01,2.08,2.48,1.60,0.50
Changes in Working Capital,-3.34,-2.87,-2.89,-1.44,-2.76
Cash from Operating Activities,14.93,11.48,8.31,0.87,-8.65
Capital Expenditures,-1.21,-2.30,-3.83,-9.81,-0.13
"Other Investing Cash Flow Items, Total",0.11,5.30,6.44,121.98,-3.18
Cash from Investing Activities,-1.10,3.00,2.61,112.17,-3.31
Total Cash Dividends Paid,-23.75,0,-10.56,-71.26,-10.56
"Issuance (Retirement) of Stock, Net",0.00,0,0,0,0
Cash from Financing Activities,-11.69,-10.02,-10.73,-114.65,5.32
Foreign Exchange Effects,-0.32,-0.38,0.02,0.61,-0.37
Net Change in Cash,1.83,4.08,0.20,-1.00,-7.00
