Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,14.78,25.94
Short Term Investments,68.37,34.04,32.36,23.48,36.47
Cash and Short Term Investments,138.07,60.57,43.27,38.26,62.41
"Accounts Receivable - Trade, Net",21.01,24.46,28.97,24.04,23.39
"Total Receivables, Net",22.68,26.08,36.83,28.65,27.05
Prepaid Expenses,1.72,1.76,2.70,3.05,2.69
"Other Current Assets, Total",0.67,0.74,0.72,10.82,10.09
Total Current Assets,164.20,90.42,84.87,82.13,103.89
"Property/Plant/Equipment, Total - Gross",22.07,23.57,29.37,35.58,38.19
"Accumulated Depreciation, Total",-8.78,-10.51,-16.65,-19.48,-21.76
"Property/Plant/Equipment, Total - Net",13.29,13.06,12.72,16.09,16.43
"Goodwill, Net",8.01,7.70,27.88,27.74,27.41
"Intangibles, Net",6.68,5.82,6.38,5.68,4.56
Long Term Investments,13.35,14.43,14.90,22.73,11.54
Total Assets,270.57,198.73,214.48,224.27,233.22
Accounts Payable,3.86,3.02,3.06,3.26,4.65
Accrued Expenses,4.52,3.57,5.30,6.33,5.21
Notes Payable/Short Term Debt,1.06,1.27,0.00,0.00,0.00
"Other Current liabilities, Total",21.23,22.20,25.54,14.04,14.66
Total Current Liabilities,32.80,32.18,35.27,25.07,26.40
Total Long Term Debt,76.15,6.61,4.31,5.35,5.76
Total Debt,79.33,10.00,4.61,6.79,7.65
Deferred Income Tax,4.07,3.89,7.07,5.21,4.63
"Other Liabilities, Total",24.80,30.72,46.50,59.37,63.20
Total Liabilities,139.88,73.57,93.28,95.12,100.12
"Common Stock, Total",96.67,96.67,96.38,95.99,95.65
Retained Earnings (Accumulated Deficit),51.94,41.82,44.21,51.62,55.47
Treasury Stock - Common,-9.83,-9.77,-15.47,-14.70,-14.07
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-8.09,-3.56,-3.92,-3.77,-3.95
Total Equity,130.69,125.16,121.20,129.15,133.10
Total Liabilities & Shareholders' Equity,270.57,198.73,214.48,224.27,233.22
Total Common Shares Outstanding,259.36,252.45,253.30,254.01,254.58
"Tangible Book Value per Share, Common Eq",0.45,0.44,0.34,0.38,0.40
