Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,13.34,-1.92,8.18,8.13,7.55
Depreciation/Depletion,1.78,1.84,2.67,3.06,2.91
Non-Cash Items,-14.71,2.79,1.05,-9.69,-8.66
Cash Taxes Paid,1.26,0.35,1.85,3.52,0.81
Changes in Working Capital,-5.50,0.02,-3.52,8.89,12.87
Cash from Operating Activities,-4.35,4.03,10.21,11.61,15.90
Capital Expenditures,-5.41,-1.67,-2.80,-2.06,-1.38
"Other Investing Cash Flow Items, Total",174.00,32.18,-6.45,6.91,0.04
Cash from Investing Activities,168.59,30.51,-9.25,4.85,-1.33
Total Cash Dividends Paid,-36.30,0.00,-3.28,-1.01,-2.54
"Issuance (Retirement) of Stock, Net",0,0,-6.68,0,0
Cash from Financing Activities,-110.39,-78.21,-16.62,-12.14,-2.85
Foreign Exchange Effects,0.11,0.49,0.05,-0.45,-0.56
Net Change in Cash,53.96,-43.17,-15.62,3.87,11.15
