Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,18 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,59.63,59.96,105.01,61.58,50.62
Total Revenue,59.63,59.96,105.01,61.58,50.62
"Selling/General/Admin. Expenses, Total",38.78,39.16,66.37,43.13,37.90
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-3.42,-0.00,-0.02,0.02,-2.49
"Other Operating Expenses, Total",-0.98,-1.15,-0.81,-0.51,-0.66
Total Operating Expense,53.28,57.79,97.14,54.07,43.23
Operating Income,6.35,2.18,7.86,7.51,7.39
"Interest Inc.(Exp.),Net-Non-Op., Total",11.43,-1.95,0.32,0.62,0.16
"Other, Net",-4.43,-2.15,0.00,0,0
Net Income Before Taxes,13.34,-1.92,8.18,8.13,7.55
Provision for Income Taxes,0.76,0.68,2.68,1.66,1.00
Net Income After Taxes,12.58,-2.60,5.50,6.46,6.55
Net Income Before Extra. Items,12.33,-2.57,5.53,6.47,6.55
Net Income,12.33,-2.57,5.53,6.47,6.55
Income Available to Com Excl ExtraOrd,12.33,-2.57,5.53,6.47,6.55
Income Available to Com Incl ExtraOrd,12.33,-2.57,5.53,6.47,6.55
Diluted Net Income,12.33,-2.57,5.53,6.47,6.55
Diluted Weighted Average Shares,259.77,259.37,254.29,254.63,256.37
Diluted EPS Excluding ExtraOrd Items,0.05,-0.01,0.02,0.03,0.03
DPS - Common Stock Primary Issue,0.01,0.01,0.01,0.01,0.01
Diluted Normalised EPS,0.04,-0.01,0.02,0.03,0.02
