Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,0.00,0.00,0.00,0.00,0.00
Total Revenue,0.00,0.00,0.00,0.00,0.00
"Selling/General/Admin. Expenses, Total",3.96,1.54,1.62,1.78,1.87
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0.00,-2.05,-20.94,20.34
"Other Operating Expenses, Total",-1.06,-2.32,0.80,1.44,2.22
Total Operating Expense,3.08,-0.78,0.34,-17.84,23.04
Operating Income,-3.08,0.78,-0.34,17.84,-23.04
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0.23,0.88,1.76,-1.07
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-3.08,1.01,0.54,19.60,-24.12
Provision for Income Taxes,0.13,-0.72,0.00,-0.12,0.00
Net Income After Taxes,-3.20,1.73,0.54,19.72,-24.12
Net Income Before Extra. Items,-3.20,1.75,0.59,19.76,-24.11
Net Income,-3.20,1.75,0.59,19.76,-24.11
Income Available to Com Excl ExtraOrd,-3.20,1.75,0.59,19.76,-24.11
Income Available to Com Incl ExtraOrd,-3.20,1.75,0.59,19.76,-24.11
Diluted Net Income,-3.20,1.75,0.59,19.76,-24.11
Diluted Weighted Average Shares,6386.34,6424.74,6424.74,6415.91,5740.00
Diluted EPS Excluding ExtraOrd Items,-0.00,0.00,0.00,0.00,-0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.00,0.00,-0.00,0.00,-0.00
