Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,PRESS
Net Income/Starting Line,-3.08,1.01,0.54,19.60,-24.12
Depreciation/Depletion,0.02,0.01,0.01,0.09,0
Non-Cash Items,0.32,-3.39,-1.55,-25.38,19.86
Cash Taxes Paid,0,0,0,0,0
Changes in Working Capital,-0.36,-0.37,-0.43,5.04,2.51
Cash from Operating Activities,-3.10,-2.74,-1.44,-0.66,-1.74
Capital Expenditures,0.00,-0.01,-0.00,0.00,-0.00
"Other Investing Cash Flow Items, Total",25.89,-4.66,2.78,0.28,-0.01
Cash from Investing Activities,25.89,-4.67,2.78,0.28,-0.02
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-0.35,-0.45,0.06,-0.82,-0.07
Foreign Exchange Effects,0.00,-0.00,0.00,0,0
Net Change in Cash,22.45,-7.86,1.40,-1.20,-1.83
