Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,28.67,29.90,34.68,39.76,39.89
Total Revenue,28.67,29.90,34.68,39.76,39.89
"Selling/General/Admin. Expenses, Total",12.25,12.00,13.54,16.48,19.52
Depreciation/Amortisation,0.38,0.52,0.55,2.21,2.18
Unusual Expense (Income),0.00,0.00,1.55,11.82,0.00
"Other Operating Expenses, Total",1.28,2.95,3.31,2.13,0.71
Total Operating Expense,18.28,20.03,23.83,39.11,29.11
Operating Income,10.40,9.87,10.85,0.65,10.78
"Interest Inc.(Exp.),Net-Non-Op., Total",0.14,-0.18,0.08,-0.03,0.03
"Other, Net",-0.45,0,0,0,0
Net Income Before Taxes,10.08,9.69,10.93,0.62,10.81
Provision for Income Taxes,1.28,1.18,1.78,1.75,1.32
Net Income After Taxes,8.80,8.51,9.15,-1.13,9.49
Net Income Before Extra. Items,8.80,8.51,9.15,-1.13,9.49
Net Income,8.80,8.51,9.15,-1.13,9.49
Income Available to Com Excl ExtraOrd,8.80,8.51,9.15,-1.13,9.49
Income Available to Com Incl ExtraOrd,8.80,8.51,9.15,-1.13,9.49
Diluted Net Income,8.80,8.51,9.15,-1.13,9.49
Diluted Weighted Average Shares,471.70,476.80,476.80,476.80,477.00
Diluted EPS Excluding ExtraOrd Items,0.02,0.02,0.02,-0.00,0.02
DPS - Common Stock Primary Issue,0.02,0.02,0.02,0.01,0.02
Diluted Normalised EPS,0.02,0.02,0.02,0.01,0.02
