Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,2494.04,3591.63,4768.32,5550.77,5663.29
Total Revenue,2494.04,3591.63,4768.32,5550.77,5663.29
"Selling/General/Admin. Expenses, Total",119.82,153.07,340.96,419.22,396.79
Depreciation/Amortisation,15.34,15.68,0,0,0
Unusual Expense (Income),-0.03,-0.02,0,0,0
"Other Operating Expenses, Total",-20.43,-15.76,-41.97,-56.18,-54.12
Total Operating Expense,1758.97,2518.26,3443.52,4021.37,3851.24
Operating Income,735.07,1073.38,1324.80,1529.40,1812.05
"Interest Inc.(Exp.),Net-Non-Op., Total",-197.59,-228.77,-273.06,-334.33,-328.76
"Other, Net",0,0,0,0,0
Net Income Before Taxes,537.48,844.61,1051.74,1195.08,1483.29
Provision for Income Taxes,164.86,263.81,314.98,310.35,396.92
Net Income After Taxes,372.62,580.79,736.76,884.73,1086.36
Net Income Before Extra. Items,349.34,513.36,676.46,833.48,1024.27
Net Income,349.34,513.36,676.46,833.48,1024.27
Income Available to Com Excl ExtraOrd,349.34,513.36,676.46,833.48,1024.27
Income Available to Com Incl ExtraOrd,349.34,513.36,676.46,833.48,1024.27
Diluted Net Income,349.34,513.36,676.46,833.48,1024.27
Diluted Weighted Average Shares,2606.00,2618.23,2644.32,2772.10,2860.88
Diluted EPS Excluding ExtraOrd Items,0.13,0.20,0.26,0.30,0.36
DPS - Common Stock Primary Issue,0.02,0.03,0.06,0.08,0.10
Diluted Normalised EPS,0.13,0.20,0.26,0.30,0.36
