Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,PRESS
Net Income/Starting Line,-47.33,-47.00,8.88,-16.61,2.27
Depreciation/Depletion,5.74,5.09,3.10,3.35,1.89
Non-Cash Items,38.21,42.07,-9.17,14.81,-2.85
Cash Taxes Paid,0.23,1.07,0.42,0.33,0.11
Changes in Working Capital,11.48,11.77,-0.28,4.64,1.76
Cash from Operating Activities,8.10,11.93,2.54,6.19,3.06
Capital Expenditures,-1.17,-1.52,-1.07,-1.70,-0.37
"Other Investing Cash Flow Items, Total",0.02,0.05,0.13,0.71,10.28
Cash from Investing Activities,-1.15,-1.47,-0.94,-1.00,9.91
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0.00,0,0,0,0
Cash from Financing Activities,-6.49,-11.36,0.34,-6.12,-11.79
Foreign Exchange Effects,-0.30,0.29,-0.40,0.17,-0.58
Net Change in Cash,0.16,-0.61,1.54,-0.77,0.61
