Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Apr 2016,30 Apr 2017,30 Apr 2018,30 Apr 2019,30 Apr 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,PRESS,PRESS,PRESS
Revenue,237.64,276.49,184.81,4.87,9.60
Total Revenue,237.64,276.49,184.81,4.87,9.60
"Selling/General/Admin. Expenses, Total",21.41,25.52,20.80,6.91,7.01
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.20,0.00,0,0,0
"Other Operating Expenses, Total",-2.38,-0.32,-0.24,5.76,5.82
Total Operating Expense,219.90,255.38,179.60,28.12,29.02
Operating Income,17.74,21.11,5.21,-23.25,-19.42
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,17.74,21.11,5.21,-23.25,-19.42
Provision for Income Taxes,2.56,3.19,0.74,0.00,0.00
Net Income After Taxes,15.18,17.93,4.47,-23.25,-19.42
Net Income Before Extra. Items,15.18,17.93,4.47,-23.25,-19.42
Net Income,15.18,17.93,4.47,-23.25,-19.42
Income Available to Com Excl ExtraOrd,15.18,17.93,4.47,-23.25,-19.42
Income Available to Com Incl ExtraOrd,15.18,17.93,4.47,-23.25,-19.42
Diluted Net Income,15.18,17.93,4.47,-23.25,-19.42
Diluted Weighted Average Shares,752.00,752.00,752.00,752.39,752.64
Diluted EPS Excluding ExtraOrd Items,0.02,0.02,0.01,-0.03,-0.03
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,0.02,0.02,0.01,-0.03,-0.03
