Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Cash,0,0,100.96,38.50,77.64
Short Term Investments,0,0,8.80,7.12,5.47
Cash and Short Term Investments,103.38,139.99,163.04,67.66,86.57
"Accounts Receivable - Trade, Net",25.42,96.12,90.52,79.86,111.49
"Total Receivables, Net",25.42,96.12,141.49,110.26,122.21
Prepaid Expenses,0,0,2.92,10.54,4.14
"Other Current Assets, Total",0,4.01,82.37,48.35,38.62
Total Current Assets,422.30,611.19,753.43,739.00,783.84
"Property/Plant/Equipment, Total - Gross",0,0,102.50,185.87,279.72
"Accumulated Depreciation, Total",0,0,-15.69,-26.50,-42.94
"Property/Plant/Equipment, Total - Net",44.77,55.54,86.81,159.38,236.77
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,1.50,1.81
Long Term Investments,22.18,48.70,69.97,85.65,147.16
Total Assets,529.44,757.33,941.63,1362.42,1569.69
Accounts Payable,0,0,99.29,173.57,162.46
Accrued Expenses,0,0,184.40,100.26,118.61
Notes Payable/Short Term Debt,15.57,13.52,12.83,21.33,9.20
"Other Current liabilities, Total",143.57,63.70,73.90,51.84,28.62
Total Current Liabilities,342.03,326.78,400.22,449.87,470.39
Total Long Term Debt,45.34,71.65,116.15,323.14,335.69
Total Debt,118.71,117.27,158.78,447.35,496.38
Deferred Income Tax,13.09,13.38,10.51,9.73,10.78
"Other Liabilities, Total",84.69,48.57,0.00,108.38,124.77
Total Liabilities,488.53,476.08,550.56,946.84,1003.41
"Common Stock, Total",46.27,168.35,237.24,237.24,316.79
Retained Earnings (Accumulated Deficit),-5.36,112.90,153.83,178.36,249.55
Treasury Stock - Common,0,0,0,-0.02,-0.02
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0,0,0,-0.01,-0.03
Total Equity,40.91,281.25,391.07,415.57,566.28
Total Liabilities & Shareholders' Equity,529.44,757.33,941.63,1362.42,1569.69
Total Common Shares Outstanding,866.62,866.62,963.62,963.57,1083.27
"Tangible Book Value per Share, Common Eq",0.05,0.32,0.41,0.43,0.52
