Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,3116088.00,3462562.00,4353759.00,3955495.00,3194734.00
Total Revenue,3116088.00,3462562.00,4353759.00,3955495.00,3194734.00
"Selling/General/Admin. Expenses, Total",467878.00,460240.00,528323.00,507881.00,488347.00
Depreciation/Amortisation,0.00,0,0,0,0
Unusual Expense (Income),4768.00,-2287.00,-25113.00,-7630.00,-129085.00
"Other Operating Expenses, Total",119599.00,38359.00,62672.00,-25310.00,33417.00
Total Operating Expense,3449911.00,3491501.00,4242180.00,3937201.00,3212559.00
Operating Income,-333823.00,-28939.00,111579.00,18294.00,-17825.00
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-333823.00,-28939.00,111579.00,18294.00,-17825.00
Provision for Income Taxes,73556.00,-56149.00,47495.00,12552.00,19076.00
Net Income After Taxes,-407379.00,27210.00,64084.00,5742.00,-36901.00
Net Income Before Extra. Items,-403364.00,30092.00,65486.00,4610.00,-91997.00
Net Income,-403364.00,30092.00,65486.00,4610.00,-91997.00
Income Available to Com Excl ExtraOrd,-403364.00,30092.00,65486.00,4610.00,-91997.00
Income Available to Com Incl ExtraOrd,-403364.00,30092.00,65486.00,4610.00,-91997.00
Diluted Net Income,-403364.00,30092.00,65486.00,4610.00,-91997.00
Diluted Weighted Average Shares,1433.42,2374.05,2381.43,2378.17,2384.84
Diluted EPS Excluding ExtraOrd Items,-281.40,12.68,27.50,1.94,-38.58
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-279.24,12.05,21.44,-0.15,-73.76
