Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,4.25,0,5.71,5.96,5.56
Short Term Investments,0,10.41,0.00,0,0
Cash and Short Term Investments,4.25,10.41,32.71,31.46,85.56
"Accounts Receivable - Trade, Net",80.66,137.32,142.21,176.19,206.34
"Total Receivables, Net",82.43,143.70,167.06,221.13,271.55
Prepaid Expenses,12.43,9.69,11.96,12.96,17.20
"Other Current Assets, Total",1.65,0.89,0.96,1.09,1.27
Total Current Assets,160.46,258.70,329.83,397.22,487.56
"Property/Plant/Equipment, Total - Gross",1403.95,1419.85,1347.27,1487.09,1495.04
"Accumulated Depreciation, Total",-535.24,-613.47,-635.95,-768.56,-869.69
"Property/Plant/Equipment, Total - Net",868.71,806.38,711.33,718.53,625.35
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0,0,0
Long Term Investments,5.27,0,0,0,0.19
Total Assets,1054.80,1087.82,1062.83,1137.29,1139.80
Accounts Payable,57.84,72.26,68.24,67.52,66.01
Accrued Expenses,180.60,195.77,222.28,187.53,181.38
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,25.00
"Other Current liabilities, Total",53.34,59.18,76.75,78.18,102.20
Total Current Liabilities,441.77,383.22,367.28,419.61,386.80
Total Long Term Debt,66.00,125.00,75.00,71.80,59.31
Total Debt,216.00,181.00,75.00,158.18,96.53
Deferred Income Tax,85.55,87.11,77.68,74.94,62.68
"Other Liabilities, Total",43.48,43.27,44.48,44.19,43.99
Total Liabilities,636.81,638.60,564.43,610.54,552.78
"Common Stock, Total",97.14,98.87,100.16,100.50,100.50
Retained Earnings (Accumulated Deficit),282.64,309.96,359.64,385.70,446.26
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),40.53,40.40,40.27,40.27,40.27
"Other Equity, Total",-2.32,0.00,-1.67,0.28,0.00
Total Equity,417.99,449.23,498.40,526.74,587.03
Total Liabilities & Shareholders' Equity,1054.80,1087.82,1062.83,1137.29,1139.80
Total Common Shares Outstanding,310.26,311.09,311.67,311.87,311.87
"Tangible Book Value per Share, Common Eq",1.35,1.44,1.60,1.69,1.88
