Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,328.60,354.20,363.50,366.73,315.39
Total Revenue,328.60,354.20,363.50,366.73,315.39
"Selling/General/Admin. Expenses, Total",2.63,2.73,3.46,3.29,7.56
Depreciation/Amortisation,0.00,0,0,0,0
Unusual Expense (Income),0.01,0.02,0.01,0.01,0.00
"Other Operating Expenses, Total",0.88,0.96,0.95,0.82,-6.39
Total Operating Expense,53.11,106.89,32.37,-44.24,430.71
Operating Income,275.49,247.30,331.14,410.97,-115.32
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,275.49,247.30,331.14,410.97,-115.32
Provision for Income Taxes,14.20,18.29,12.97,15.87,0.34
Net Income After Taxes,261.29,229.01,318.16,395.09,-115.66
Net Income Before Extra. Items,246.55,220.30,307.18,390.53,-71.36
Net Income,246.55,220.30,307.18,390.53,-71.36
Income Available to Com Excl ExtraOrd,246.55,220.30,307.18,390.53,-72.74
Income Available to Com Incl ExtraOrd,246.55,220.30,307.18,390.53,-72.74
Diluted Net Income,241.72,220.30,307.18,391.33,-72.74
Diluted Weighted Average Shares,2586.20,2622.05,2860.48,2994.38,2818.49
Diluted EPS Excluding ExtraOrd Items,0.09,0.08,0.11,0.13,-0.03
DPS - Common Stock Primary Issue,0.09,0.09,0.09,0.08,0.06
Diluted Normalised EPS,0.09,0.08,0.11,0.13,-0.03
