Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,181.43,161.19,96.21,156.13,226.40
Short Term Investments,1.02,11.46,40.45,1.07,1.07
Cash and Short Term Investments,182.45,172.66,136.66,157.21,227.47
"Accounts Receivable - Trade, Net",10.80,13.36,11.92,11.28,12.43
"Total Receivables, Net",12.23,13.61,17.57,14.60,22.13
Prepaid Expenses,2.53,4.61,5.59,8.36,9.81
"Other Current Assets, Total",0.01,0.25,0.96,14.04,6.84
Total Current Assets,197.22,191.13,160.77,194.19,266.25
"Property/Plant/Equipment, Total - Gross",6.91,7.88,8.42,8.91,9.64
"Accumulated Depreciation, Total",-4.63,-5.77,-6.56,-7.27,-8.03
"Property/Plant/Equipment, Total - Net",2.28,2.11,1.86,1.65,1.62
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.00,0,0,0,0
Long Term Investments,8890.68,9047.57,9349.20,9836.53,10949.35
Total Assets,9093.38,9241.61,9512.40,10032.37,11234.07
Accounts Payable,9.40,9.86,9.12,11.01,14.90
Accrued Expenses,53.51,52.02,50.71,61.11,62.75
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",45.26,72.86,76.07,97.10,88.29
Total Current Liabilities,207.97,371.74,649.67,758.66,844.14
Total Long Term Debt,3206.00,2993.87,2978.08,3040.82,4148.26
Total Debt,3305.80,3230.87,3491.85,3630.25,4826.46
Deferred Income Tax,13.02,29.00,40.02,52.94,50.42
"Other Liabilities, Total",73.12,80.04,76.53,73.82,78.09
Total Liabilities,3624.44,3602.54,3875.88,4055.31,5205.74
"Common Stock, Total",0,0,0,0,0
Retained Earnings (Accumulated Deficit),0,0,0,0,5829.66
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",5468.94,5639.07,5636.52,5977.06,198.68
Total Equity,5468.94,5639.07,5636.52,5977.06,6028.33
Total Liabilities & Shareholders' Equity,9093.38,9241.61,9512.40,10032.37,11234.07
Total Common Shares Outstanding,2536.66,2652.44,2670.63,2801.02,2837.67
"Tangible Book Value per Share, Common Eq",2.16,2.13,2.11,2.13,2.12
