Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-3.30,-1.84,-2.97,0.36,-7.77
Depreciation/Depletion,0.02,0.06,0.19,0.82,2.65
Non-Cash Items,-1.28,0.68,3.33,1.41,11.85
Cash Taxes Paid,0,0.00,0.04,0.21,0.40
Changes in Working Capital,-4.78,18.17,-10.07,-8.32,-0.40
Cash from Operating Activities,-9.34,17.16,-9.35,-5.51,6.59
Capital Expenditures,-0.03,-0.01,-0.31,-0.22,-0.15
"Other Investing Cash Flow Items, Total",0.01,-1.82,0.23,-14.96,0.06
Cash from Investing Activities,-0.01,-1.83,-0.08,-15.18,-0.09
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",3.29,4.01,4.44,9.44,0.00
Cash from Financing Activities,2.56,-12.32,14.81,15.57,3.84
Foreign Exchange Effects,-0.02,-0.00,0.01,-0.03,-0.10
Net Change in Cash,-6.81,3.02,5.39,-5.15,10.24
