Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,54.30,433.04,692.53,605.02,374.97
Total Revenue,54.30,433.04,692.53,605.02,374.97
"Selling/General/Admin. Expenses, Total",2.30,2.73,6.35,9.21,16.84
Depreciation/Amortisation,0.02,0.15,0.36,0.98,2.43
Unusual Expense (Income),0,0.10,0.09,0.11,1.04
"Other Operating Expenses, Total",1.34,1.37,3.89,3.60,9.56
Total Operating Expense,57.58,433.66,693.82,601.85,379.97
Operating Income,-3.29,-0.63,-1.29,3.17,-5.00
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.02,-1.22,-1.68,-2.82,-2.78
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-3.30,-1.84,-2.97,0.36,-7.77
Provision for Income Taxes,0.00,0.14,-0.01,0.25,0.42
Net Income After Taxes,-3.30,-1.99,-2.96,0.11,-8.19
Net Income Before Extra. Items,-3.15,-1.79,-3.12,-0.68,-9.00
Net Income,-3.36,-1.79,-3.12,-0.68,-9.00
Income Available to Com Excl ExtraOrd,-3.15,-1.79,-3.12,-0.68,-9.00
Income Available to Com Incl ExtraOrd,-3.36,-1.79,-3.12,-0.68,-9.00
Diluted Net Income,-3.36,-1.79,-3.12,-0.68,-9.00
Diluted Weighted Average Shares,106.94,129.84,155.24,183.44,208.46
Diluted EPS Excluding ExtraOrd Items,-0.03,-0.01,-0.02,-0.00,-0.04
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.03,-0.01,-0.02,-0.00,-0.04
