Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,52.67,14.02,10.22,10.03,12.25
Short Term Investments,4.52,24.68,12.15,9.22,6.78
Cash and Short Term Investments,57.18,38.70,22.37,19.25,19.04
"Accounts Receivable - Trade, Net",12.21,126.95,102.42,94.83,146.00
"Total Receivables, Net",29.74,143.89,122.45,114.13,167.54
Prepaid Expenses,0.17,2.51,3.09,3.14,3.78
"Other Current Assets, Total",8.97,8.08,8.02,0.78,0.09
Total Current Assets,101.34,331.36,313.89,306.78,393.13
"Property/Plant/Equipment, Total - Gross",79.70,132.13,146.64,230.28,235.21
"Accumulated Depreciation, Total",-32.50,-40.06,-46.95,-55.47,-64.86
"Property/Plant/Equipment, Total - Net",47.20,92.07,99.69,174.81,170.36
"Goodwill, Net",0,22.54,31.90,32.32,32.30
"Intangibles, Net",0.00,27.13,39.17,34.23,28.86
Long Term Investments,3.46,3.27,2.66,2.46,2.29
Total Assets,190.10,505.15,512.20,575.30,650.97
Accounts Payable,3.71,46.29,35.69,46.60,59.07
Accrued Expenses,1.68,37.19,29.39,29.15,73.00
Notes Payable/Short Term Debt,0.00,58.28,64.68,42.28,9.07
"Other Current liabilities, Total",0.29,5.39,5.21,15.71,5.99
Total Current Liabilities,5.68,183.72,167.20,179.08,197.30
Total Long Term Debt,0.00,47.65,61.63,123.49,119.62
Total Debt,0.00,142.50,158.55,211.11,178.87
Deferred Income Tax,0.69,9.92,21.83,16.63,24.12
"Other Liabilities, Total",0.00,4.14,3.39,3.27,3.06
Total Liabilities,11.31,309.31,302.09,374.10,408.47
"Common Stock, Total",140.58,150.52,169.58,169.58,169.60
Retained Earnings (Accumulated Deficit),55.88,65.96,61.87,55.01,99.95
Treasury Stock - Common,0,0.00,-0.63,-0.63,-2.21
Unrealised Gain (Loss),0.64,0.45,-0.66,-0.86,-1.04
"Other Equity, Total",-18.30,-21.09,-20.05,-21.90,-23.80
Total Equity,178.80,195.83,210.11,201.21,242.50
Total Liabilities & Shareholders' Equity,190.10,505.15,512.20,575.30,650.97
Total Common Shares Outstanding,836.67,876.67,947.07,947.07,940.81
"Tangible Book Value per Share, Common Eq",0.21,0.17,0.15,0.14,0.19
