Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,795.21,801.05,1042.57,876.50,8.40
Depreciation/Depletion,236.48,212.38,182.39,375.29,413.51
Non-Cash Items,170.60,-494.01,-676.76,-258.20,-383.54
Cash Taxes Paid,223.02,363.38,195.90,263.86,177.28
Changes in Working Capital,-907.94,683.54,-423.44,-1819.05,164.09
Cash from Operating Activities,294.35,1202.96,124.75,-825.45,202.45
Capital Expenditures,-466.23,-392.99,-254.51,-516.79,-487.64
"Other Investing Cash Flow Items, Total",156.30,949.50,931.41,-1171.21,213.54
Cash from Investing Activities,-309.93,556.51,676.90,-1688.01,-274.10
Total Cash Dividends Paid,-544.65,-363.53,-526.15,-417.94,-273.08
"Issuance (Retirement) of Stock, Net",-1.94,-15.14,-85.02,-4.41,-19.04
Cash from Financing Activities,168.14,-1478.63,-1024.86,2346.14,712.66
Foreign Exchange Effects,7.10,-58.17,-46.39,-27.29,-9.78
Net Change in Cash,159.65,222.68,-269.60,-194.60,631.23
