Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,7.97,5.85,6.97,-62.87,3.03
Depreciation/Depletion,17.42,18.16,16.16,14.65,16.56
Non-Cash Items,10.47,10.37,8.16,36.75,-2.22
Cash Taxes Paid,3.56,2.52,3.40,2.03,2.24
Changes in Working Capital,17.06,-9.36,-3.71,35.27,23.67
Cash from Operating Activities,52.92,25.01,27.58,23.80,41.03
Capital Expenditures,-16.32,-1.27,-3.04,-6.88,-6.36
"Other Investing Cash Flow Items, Total",0.98,-5.58,0.02,-4.17,1.40
Cash from Investing Activities,-15.33,-6.85,-3.02,-11.05,-4.96
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-32.69,-23.64,-25.36,-12.27,-35.16
Foreign Exchange Effects,0.60,0.13,-0.23,0.12,0.15
Net Change in Cash,5.50,-5.35,-1.03,0.61,1.06
