Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-23.66,-9.73,-2.34,-0.30,2.03
Depreciation/Depletion,1.72,1.60,1.02,0.76,1.74
Non-Cash Items,18.74,6.28,-1.54,1.61,2.27
Cash Taxes Paid,0.51,0.58,0.33,0.25,0.30
Changes in Working Capital,6.71,4.99,14.50,-5.46,-2.69
Cash from Operating Activities,4.03,3.60,11.63,-3.39,3.35
Capital Expenditures,-2.03,-1.28,-0.69,-0.77,-0.89
"Other Investing Cash Flow Items, Total",12.57,0.01,0.05,0.01,0.00
Cash from Investing Activities,10.54,-1.27,-0.64,-0.75,-0.89
Total Cash Dividends Paid,0.00,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-20.54,-2.22,-14.27,4.24,-1.71
Foreign Exchange Effects,0.01,-0.11,-0.01,0.04,-0.06
Net Change in Cash,-5.95,-0.00,-3.29,0.13,0.69
