Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,57.40,58.09,64.43,54.38,59.26
Total Revenue,57.40,58.09,64.43,54.38,59.26
"Selling/General/Admin. Expenses, Total",17.39,15.00,14.12,14.01,14.62
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0,0,0,0,0
"Other Operating Expenses, Total",22.85,7.06,3.12,3.85,3.95
Total Operating Expense,79.74,66.80,65.28,53.48,55.74
Operating Income,-22.35,-8.71,-0.85,0.90,3.52
"Interest Inc.(Exp.),Net-Non-Op., Total",-1.31,-1.02,-1.49,-1.20,-1.49
"Other, Net",0.00,0,0,0,0
Net Income Before Taxes,-23.66,-9.73,-2.34,-0.30,2.03
Provision for Income Taxes,0.17,0.11,-0.15,0.16,0.84
Net Income After Taxes,-23.83,-9.84,-2.19,-0.46,1.18
Net Income Before Extra. Items,-23.82,-9.84,-2.19,-0.46,1.18
Net Income,-23.82,-9.84,-2.19,-0.46,1.18
Income Available to Com Excl ExtraOrd,-23.82,-9.84,-2.19,-0.46,1.18
Income Available to Com Incl ExtraOrd,-23.82,-9.84,-2.19,-0.46,1.18
Diluted Net Income,-23.82,-9.84,-2.19,-0.46,1.18
Diluted Weighted Average Shares,233.32,233.32,233.32,234.00,235.06
Diluted EPS Excluding ExtraOrd Items,-0.10,-0.04,-0.01,-0.00,0.01
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.05,-0.04,-0.00,-0.00,0.01
