Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,40.60,120.46,66.95,86.53,27.47
Total Revenue,40.60,120.46,66.95,86.53,27.47
"Selling/General/Admin. Expenses, Total",6.00,6.17,2.26,1.32,1.30
Depreciation/Amortisation,0.01,0.07,0.00,0.08,0.18
Unusual Expense (Income),-0.19,-1.10,-0.08,0.00,0
"Other Operating Expenses, Total",-0.67,-0.62,0.10,0.38,0.10
Total Operating Expense,47.59,119.42,69.82,87.68,28.26
Operating Income,-6.99,1.04,-2.87,-1.15,-0.79
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.11,-0.12,-0.20,-0.26,-0.18
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-7.09,0.92,-3.07,-1.41,-0.97
Provision for Income Taxes,0.01,0.05,0.00,0.00,0.02
Net Income After Taxes,-7.10,0.87,-3.07,-1.41,-0.99
Net Income Before Extra. Items,-7.10,0.87,-3.07,-1.41,-0.99
Net Income,-7.10,0.87,-7.47,-0.82,-0.99
Income Available to Com Excl ExtraOrd,-7.10,0.87,-3.07,-1.41,-0.99
Income Available to Com Incl ExtraOrd,-7.10,0.87,-7.47,-0.82,-0.99
Diluted Net Income,-7.10,0.87,-7.47,-0.82,-0.99
Diluted Weighted Average Shares,76.99,84.37,218.97,52.82,97.16
Diluted EPS Excluding ExtraOrd Items,-0.09,0.01,-0.01,-0.03,-0.01
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.09,0.00,-0.01,-0.03,-0.01
