Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-7.09,0.92,-3.07,-1.41,-0.97
Depreciation/Depletion,1.04,0.69,0.61,0.48,0.18
Non-Cash Items,1.57,-0.22,-2.84,-3.61,0.08
Cash Taxes Paid,0.11,0.13,0.28,0.28,0.18
Changes in Working Capital,-0.98,-2.69,3.83,1.82,3.96
Cash from Operating Activities,-5.46,-1.30,-1.47,-2.72,3.25
Capital Expenditures,-0.74,-0.33,-0.44,-0.08,0
"Other Investing Cash Flow Items, Total",4.46,0.43,0.01,0.35,0.00
Cash from Investing Activities,3.72,0.10,-0.43,0.27,0.00
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",4.22,0.00,1.13,0,1.53
Cash from Financing Activities,3.87,1.96,1.09,2.91,-3.46
Foreign Exchange Effects,0.04,-0.05,-0.02,-0.02,-0.03
Net Change in Cash,2.16,0.71,-0.83,0.45,-0.24
