Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,574.49,653.54,885.41,962.35,1027.97
Total Revenue,574.49,653.54,885.41,962.35,1027.97
"Selling/General/Admin. Expenses, Total",131.61,126.06,149.10,155.94,143.02
Depreciation/Amortisation,9.87,7.58,5.98,8.58,8.94
Unusual Expense (Income),0.45,0.49,0.03,0.44,0.51
"Other Operating Expenses, Total",-2.33,2.69,-11.00,-1.30,10.02
Total Operating Expense,534.46,616.97,809.38,894.07,950.26
Operating Income,40.04,36.57,76.04,68.28,77.71
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,40.04,36.57,76.04,68.28,77.71
Provision for Income Taxes,7.91,8.16,17.23,19.32,16.01
Net Income After Taxes,32.13,28.41,58.81,48.96,61.70
Net Income Before Extra. Items,28.12,27.63,61.45,59.71,54.86
Net Income,28.12,27.63,61.45,59.71,54.86
Income Available to Com Excl ExtraOrd,28.12,27.63,61.45,59.71,54.86
Income Available to Com Incl ExtraOrd,28.12,27.63,61.45,59.71,54.86
Diluted Net Income,28.12,27.63,61.45,59.71,54.86
Diluted Weighted Average Shares,88.75,88.75,88.75,88.75,88.75
Diluted EPS Excluding ExtraOrd Items,0.32,0.31,0.69,0.67,0.62
DPS - Common Stock Primary Issue,0.05,0.05,0.15,0.05,0.05
Diluted Normalised EPS,0.32,0.32,0.69,0.68,0.62
