Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,24.52,11.89
Short Term Investments,0,0,0,4.87,0.23
Cash and Short Term Investments,26.65,94.18,18.57,29.38,12.12
"Accounts Receivable - Trade, Net",37.37,97.33,141.83,90.26,79.40
"Total Receivables, Net",39.26,100.74,146.91,99.79,86.43
Prepaid Expenses,0.49,1.32,2.56,7.61,1.96
"Other Current Assets, Total",9.40,18.95,97.34,115.82,100.46
Total Current Assets,99.39,236.29,287.62,255.83,203.87
"Property/Plant/Equipment, Total - Gross",0,49.98,53.93,161.39,156.54
"Accumulated Depreciation, Total",0,-7.88,-17.50,-48.50,-68.56
"Property/Plant/Equipment, Total - Net",11.18,42.10,36.44,112.89,87.99
"Goodwill, Net",0,260.76,259.92,248.97,219.39
"Intangibles, Net",56.55,38.42,73.41,88.92,86.50
Long Term Investments,1.49,3.34,3.47,7.37,5.90
Total Assets,169.29,582.19,665.72,737.31,623.81
Accounts Payable,16.40,40.33,73.80,44.97,36.05
Accrued Expenses,3.54,9.74,31.46,19.60,12.81
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",39.29,235.96,53.48,44.90,48.68
Total Current Liabilities,65.45,291.01,195.56,264.26,323.37
Total Long Term Debt,5.46,60.97,186.17,187.89,115.36
Total Debt,11.69,65.94,222.99,342.67,341.18
Deferred Income Tax,1.87,6.30,6.62,6.44,6.33
"Other Liabilities, Total",0.00,15.45,10.75,5.12,4.55
Total Liabilities,84.10,403.62,451.56,519.79,496.94
"Common Stock, Total",88.21,152.87,152.87,152.87,152.87
Retained Earnings (Accumulated Deficit),-1.90,26.44,62.18,65.60,-25.18
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",-1.12,-0.74,-0.89,-0.95,-0.81
Total Equity,85.19,178.57,214.16,217.52,126.88
Total Liabilities & Shareholders' Equity,169.29,582.19,665.72,737.31,623.81
Total Common Shares Outstanding,1397.04,1550.40,1550.40,1550.40,1550.41
"Tangible Book Value per Share, Common Eq",0.02,-0.08,-0.08,-0.08,-0.12
