Fiscal Year,2014,2015,2016,2017,2018
Period Ended,31 Dec 2014,31 Dec 2015,31 Dec 2016,31 Dec 2017,31 Dec 2018
Source,ARS,ARS,ARS,PRESS,PRESS
Net Income/Starting Line,1.16,1.59,-25.77,-2.15,-1.46
Depreciation/Depletion,1.59,1.50,0.02,0.10,0.11
Non-Cash Items,6.60,2.70,21.43,0.00,0.00
Cash Taxes Paid,0.93,1.14,0.06,0.00,0.00
Changes in Working Capital,-3.72,-23.37,0.91,1.77,1.21
Cash from Operating Activities,5.63,-17.58,-3.41,-0.27,-0.15
Capital Expenditures,-2.31,-1.94,-0.07,-0.40,-0.30
"Other Investing Cash Flow Items, Total",-12.75,12.97,53.10,0.00,0.00
Cash from Investing Activities,-15.07,11.03,53.02,-0.40,-0.30
Total Cash Dividends Paid,-0.54,-1.08,-80.55,0.00,0.00
"Issuance (Retirement) of Stock, Net",0,0,0,1.66,0.26
Cash from Financing Activities,10.41,17.06,-80.76,1.52,-0.62
Foreign Exchange Effects,0,0,-0.00,0.00,0
Net Change in Cash,0.98,10.52,-31.14,0.85,-1.07
