Fiscal Year,2014,2015,2016,2017,2018
Period Ended,31 Dec 2014,31 Dec 2015,31 Dec 2016,31 Dec 2017,31 Dec 2018
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,PRESS,PRESS
Revenue,109.06,0.00,0.01,0.73,1.74
Total Revenue,109.06,0.00,0.01,0.73,1.74
"Selling/General/Admin. Expenses, Total",10.03,1.96,1.42,2.48,2.38
Depreciation/Amortisation,0,0,0,0.10,0.11
Unusual Expense (Income),0,0,19.88,0,0
"Other Operating Expenses, Total",-0.30,0.00,1.99,-0.29,-0.27
Total Operating Expense,107.90,1.96,23.33,2.87,3.20
Operating Income,1.16,-1.96,-23.32,-2.15,-1.46
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0.00,0.00
Net Income Before Taxes,1.16,-1.96,-23.32,-2.15,-1.46
Provision for Income Taxes,-0.39,0.00,0.00,0.00,0.00
Net Income After Taxes,1.56,-1.96,-23.32,-2.15,-1.46
Net Income Before Extra. Items,1.56,-1.96,-23.03,-1.51,-1.03
Net Income,1.56,1.59,-25.49,-1.51,-1.03
Income Available to Com Excl ExtraOrd,1.56,-1.96,-23.03,-1.51,-1.03
Income Available to Com Incl ExtraOrd,1.56,1.59,-25.49,-1.51,-1.03
Diluted Net Income,1.56,1.59,-25.49,-1.51,-1.03
Diluted Weighted Average Shares,92.63,92.63,92.63,112.48,140.40
Diluted EPS Excluding ExtraOrd Items,0.02,-0.02,-0.25,-0.01,-0.01
DPS - Common Stock Primary Issue,0.01,0.00,0,0,0
Diluted Normalised EPS,0.02,-0.02,-0.03,-0.01,-0.01
