Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,696.06,691.65,720.93,749.45,742.93
Total Revenue,696.06,691.65,720.93,749.45,742.93
"Selling/General/Admin. Expenses, Total",96.50,99.60,109.86,97.01,76.88
Depreciation/Amortisation,7.34,7.17,6.05,32.93,34.78
Unusual Expense (Income),0,0,0,-0.00,-1.43
"Other Operating Expenses, Total",-3.84,-3.35,-3.44,-4.17,-6.82
Total Operating Expense,638.11,628.01,638.88,659.38,629.05
Operating Income,57.95,63.63,82.05,90.08,113.88
"Interest Inc.(Exp.),Net-Non-Op., Total",5.27,1.28,7.75,4.93,-3.61
"Other, Net",0,0,0,0,0
Net Income Before Taxes,62.99,64.76,90.05,95.08,109.89
Provision for Income Taxes,13.35,14.03,18.65,17.72,25.35
Net Income After Taxes,49.64,50.73,71.40,77.36,84.54
Net Income Before Extra. Items,48.70,49.82,70.43,76.05,82.47
Net Income,48.70,49.82,70.43,76.05,82.47
Income Available to Com Excl ExtraOrd,48.70,49.82,70.43,76.05,82.47
Income Available to Com Incl ExtraOrd,48.70,49.82,70.43,76.05,82.47
Diluted Net Income,48.70,49.82,70.43,76.05,82.47
Diluted Weighted Average Shares,705.01,705.01,705.01,704.97,703.98
Diluted EPS Excluding ExtraOrd Items,0.07,0.07,0.10,0.11,0.12
DPS - Common Stock Primary Issue,0.02,0.02,0.03,0.02,0.06
Diluted Normalised EPS,0.07,0.07,0.10,0.11,0.12
