Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Cash,97.02,136.84,133.62,132.97,228.16
Short Term Investments,27.83,43.65,47.35,50.16,19.71
Cash and Short Term Investments,124.85,180.50,180.97,183.13,247.87
"Accounts Receivable - Trade, Net",9.90,10.93,10.25,5.98,7.69
"Total Receivables, Net",15.11,17.86,15.19,18.24,12.70
Prepaid Expenses,0.75,0.97,0.91,1.23,0.99
"Other Current Assets, Total",2.67,1.73,1.70,2.13,3.04
Total Current Assets,450.72,483.53,485.13,491.16,523.69
"Property/Plant/Equipment, Total - Gross",75.00,76.70,99.75,273.30,337.38
"Accumulated Depreciation, Total",-37.89,-42.63,-44.20,-73.27,-105.04
"Property/Plant/Equipment, Total - Net",37.11,34.07,55.55,200.03,232.34
"Goodwill, Net",0,0,0,9.36,10.43
"Intangibles, Net",4.45,5.22,5.26,5.92,5.01
Long Term Investments,96.58,95.95,89.16,136.81,190.15
Total Assets,599.00,626.08,649.14,856.57,970.93
Accounts Payable,20.80,16.51,14.73,11.84,18.08
Accrued Expenses,4.03,13.98,17.81,14.98,18.33
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",28.43,23.22,25.39,34.08,40.26
Total Current Liabilities,104.42,103.36,72.90,151.22,204.56
Total Long Term Debt,0.00,0.00,0.00,81.49,69.62
Total Debt,51.16,49.66,14.97,171.81,197.51
Deferred Income Tax,1.39,1.41,1.33,0.77,1.01
"Other Liabilities, Total",1.40,1.72,1.89,0.31,0.41
Total Liabilities,120.53,118.94,88.90,248.82,290.97
"Common Stock, Total",67.64,67.64,67.64,67.64,67.64
Retained Earnings (Accumulated Deficit),417.33,443.18,499.52,554.42,608.78
Treasury Stock - Common,0,0,0,-0.59,-0.59
Unrealised Gain (Loss),3.37,3.37,3.37,3.37,3.30
"Other Equity, Total",-9.87,-7.05,-10.28,-17.08,0.82
Total Equity,478.48,507.14,560.24,607.75,679.95
Total Liabilities & Shareholders' Equity,599.00,626.08,649.14,856.57,970.93
Total Common Shares Outstanding,705.01,705.01,705.01,703.98,703.98
"Tangible Book Value per Share, Common Eq",0.67,0.71,0.79,0.84,0.94
