Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0.00,0,0,0,0
Cash and Short Term Investments,50.78,76.83,37.56,34.57,29.84
"Accounts Receivable - Trade, Net",84.02,100.95,118.72,134.56,122.83
"Total Receivables, Net",86.57,102.53,121.55,139.10,125.01
Prepaid Expenses,1.40,0.64,1.50,1.55,1.18
"Other Current Assets, Total",0,0,19.02,25.01,47.81
Total Current Assets,167.73,211.39,210.95,239.89,247.15
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",17.43,10.57,12.45,13.59,12.55
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.56,0.53,0.50,0.57,0.74
Long Term Investments,4.29,4.09,4.26,4.33,4.94
Total Assets,193.38,229.86,232.74,265.93,273.41
Accounts Payable,0,0,0,0,0
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",0.97,1.46,13.78,16.92,17.59
Total Current Liabilities,85.48,117.33,119.33,144.64,140.56
Total Long Term Debt,1.96,1.31,0.87,2.78,1.91
Total Debt,11.57,25.71,20.43,26.82,7.60
Deferred Income Tax,0.00,0.07,0.48,0.67,0.72
"Other Liabilities, Total",1.38,2.30,3.19,3.38,3.39
Total Liabilities,96.71,129.08,133.00,162.32,158.88
"Common Stock, Total",37.29,37.29,37.29,37.29,37.29
Retained Earnings (Accumulated Deficit),50.39,57.31,59.42,65.21,79.13
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0.34,0.47,0.00,0,0
"Other Equity, Total",8.66,5.72,3.03,1.12,-1.89
Total Equity,96.67,100.79,99.74,103.62,114.53
Total Liabilities & Shareholders' Equity,193.38,229.86,232.74,265.93,273.41
Total Common Shares Outstanding,90.10,90.10,90.10,90.10,90.10
"Tangible Book Value per Share, Common Eq",1.07,1.11,1.10,1.14,1.26
