Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,129.40,141.94,156.84,143.66,118.58
Total Revenue,129.40,141.94,156.84,143.66,118.58
"Selling/General/Admin. Expenses, Total",12.08,11.95,12.85,11.97,10.34
Depreciation/Amortisation,0.75,0.80,0.69,0.70,1.50
Unusual Expense (Income),0.87,0.15,0.07,0.01,0.41
"Other Operating Expenses, Total",1.44,5.32,2.10,3.52,2.23
Total Operating Expense,116.56,132.36,143.26,135.80,114.66
Operating Income,12.84,9.58,13.58,7.85,3.93
"Interest Inc.(Exp.),Net-Non-Op., Total",0.24,0.43,1.94,0.93,0.38
"Other, Net",0.42,2.46,0.14,2.82,3.51
Net Income Before Taxes,13.54,12.47,15.65,11.60,7.83
Provision for Income Taxes,4.19,2.35,3.63,1.79,1.45
Net Income After Taxes,9.35,10.12,12.02,9.81,6.38
Net Income Before Extra. Items,9.13,10.24,12.02,9.81,6.38
Net Income,9.13,10.24,12.02,9.81,6.38
Income Available to Com Excl ExtraOrd,9.13,10.24,12.02,9.81,6.38
Income Available to Com Incl ExtraOrd,9.13,10.24,12.02,9.81,6.38
Diluted Net Income,9.13,10.24,12.02,9.81,6.38
Diluted Weighted Average Shares,241.79,242.16,242.91,242.93,242.57
Diluted EPS Excluding ExtraOrd Items,0.04,0.04,0.05,0.04,0.03
DPS - Common Stock Primary Issue,0.01,0.01,0.02,0.02,0.01
Diluted Normalised EPS,0.04,0.04,0.05,0.04,0.03
