Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,13.54,12.47,15.65,11.60,7.83
Depreciation/Depletion,4.27,3.66,3.58,3.56,5.20
Non-Cash Items,-1.54,3.36,-0.00,-3.39,-0.16
Cash Taxes Paid,4.63,3.11,4.02,2.41,1.23
Changes in Working Capital,5.70,-12.11,-4.80,-5.05,-14.47
Cash from Operating Activities,21.95,7.38,14.43,6.72,-1.60
Capital Expenditures,-6.93,-4.40,-7.29,-8.90,-9.88
"Other Investing Cash Flow Items, Total",0.80,0.65,0.35,0.56,1.23
Cash from Investing Activities,-6.13,-3.75,-6.94,-8.34,-8.65
Total Cash Dividends Paid,-6.03,-4.83,-4.85,-7.28,-3.66
"Issuance (Retirement) of Stock, Net",0.01,0.19,0.13,0,-0.22
Cash from Financing Activities,-7.80,-5.99,-5.95,-8.47,-5.58
Foreign Exchange Effects,-0.61,-0.04,0.14,0.09,0.10
Net Change in Cash,7.41,-2.40,1.68,-9.99,-15.73
