Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,433.85,385.11,470.65,726.56,685.71
Total Revenue,433.85,385.11,470.65,726.56,685.71
"Selling/General/Admin. Expenses, Total",93.77,94.49,104.05,101.35,109.01
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),3.55,0.21,-4.56,3.39,-135.01
"Other Operating Expenses, Total",-9.41,0,0,0,0
Total Operating Expense,360.93,330.55,404.51,656.71,490.18
Operating Income,72.91,54.55,66.14,69.85,195.53
"Interest Inc.(Exp.),Net-Non-Op., Total",-5.23,1.10,-3.78,-6.81,8.77
"Other, Net",0,0,0,0,0
Net Income Before Taxes,67.69,55.65,62.36,63.04,204.30
Provision for Income Taxes,14.20,13.49,12.78,18.58,25.44
Net Income After Taxes,53.49,42.16,49.58,44.46,178.86
Net Income Before Extra. Items,33.29,26.32,32.52,30.87,113.07
Net Income,33.29,26.32,32.52,30.87,113.07
Income Available to Com Excl ExtraOrd,33.29,26.32,32.52,30.87,113.07
Income Available to Com Incl ExtraOrd,33.29,26.32,32.52,30.87,113.07
Diluted Net Income,33.29,26.32,32.52,30.87,113.07
Diluted Weighted Average Shares,522.50,519.71,492.99,490.34,486.02
Diluted EPS Excluding ExtraOrd Items,0.06,0.05,0.07,0.06,0.23
DPS - Common Stock Primary Issue,0.02,0.03,0.03,0.03,0.04
Diluted Normalised EPS,0.07,0.05,0.06,0.07,-0.01
