Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,ARS,ARS,ARS,ARS
Cash,137.47,134.52,164.72,141.94,335.31
Short Term Investments,140.27,152.23,97.95,146.40,149.67
Cash and Short Term Investments,277.74,286.75,262.67,288.33,484.97
"Accounts Receivable - Trade, Net",129.00,120.14,188.81,171.14,211.63
"Total Receivables, Net",176.22,164.97,237.98,277.94,268.13
Prepaid Expenses,15.60,15.64,18.11,15.91,21.86
"Other Current Assets, Total",1.74,5.85,10.98,10.85,7.20
Total Current Assets,506.29,505.07,559.97,623.32,789.09
"Property/Plant/Equipment, Total - Gross",34.73,35.38,42.56,69.43,71.68
"Accumulated Depreciation, Total",-23.03,-23.55,-25.34,-25.54,-28.88
"Property/Plant/Equipment, Total - Net",11.70,11.83,17.22,43.89,42.80
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.99,0.74,2.14,1.89,1.40
Long Term Investments,233.05,205.13,280.21,298.71,206.33
Total Assets,761.57,737.41,884.33,1024.76,1164.20
Accounts Payable,28.97,38.37,43.73,71.25,67.52
Accrued Expenses,93.33,87.51,96.43,101.09,143.02
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",93.24,86.47,100.05,119.39,167.31
Total Current Liabilities,233.83,217.45,308.05,390.14,384.76
Total Long Term Debt,70.06,65.41,79.76,116.64,57.84
Total Debt,88.35,70.50,147.60,215.04,64.74
Deferred Income Tax,3.20,3.78,4.05,5.17,0.79
"Other Liabilities, Total",9.82,7.76,10.12,16.08,55.14
Total Liabilities,439.62,421.03,548.19,682.13,717.25
"Common Stock, Total",104.56,104.56,70.76,74.44,74.44
Retained Earnings (Accumulated Deficit),250.13,244.07,261.76,275.76,372.25
Treasury Stock - Common,-13.05,-35.29,-1.49,-9.31,-11.77
Unrealised Gain (Loss),1.28,0.59,5.78,5.69,5.74
"Other Equity, Total",-20.96,2.44,-0.66,-3.95,6.28
Total Equity,321.95,316.38,336.14,342.63,446.95
Total Liabilities & Shareholders' Equity,761.57,737.41,884.33,1024.76,1164.20
Total Common Shares Outstanding,522.12,492.99,492.99,487.17,484.03
"Tangible Book Value per Share, Common Eq",0.61,0.64,0.68,0.70,0.92
