Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,210.90,216.62,216.11,222.05,198.24
Total Revenue,210.90,216.62,216.11,222.05,198.24
"Selling/General/Admin. Expenses, Total",23.18,23.73,22.79,21.96,22.13
Depreciation/Amortisation,0.73,0.78,0.62,4.93,4.88
Unusual Expense (Income),-7.95,0,0,0,0
"Other Operating Expenses, Total",17.37,16.08,17.28,12.51,10.74
Total Operating Expense,200.87,212.14,213.56,218.22,193.52
Operating Income,10.03,4.48,2.54,3.83,4.71
"Interest Inc.(Exp.),Net-Non-Op., Total",-2.66,-2.79,-2.94,-3.27,-2.38
"Other, Net",0,0,0,0,0
Net Income Before Taxes,7.37,1.69,-0.40,0.56,2.34
Provision for Income Taxes,0.59,0.90,0.69,0.28,1.06
Net Income After Taxes,6.78,0.79,-1.08,0.28,1.28
Net Income Before Extra. Items,6.72,0.73,-1.14,0.23,1.22
Net Income,6.72,0.73,-1.14,0.23,1.22
Income Available to Com Excl ExtraOrd,6.72,0.73,-1.14,0.23,1.22
Income Available to Com Incl ExtraOrd,6.72,0.73,-1.14,0.23,1.22
Diluted Net Income,6.72,0.73,-1.14,0.23,1.22
Diluted Weighted Average Shares,87.27,87.27,87.27,87.27,87.27
Diluted EPS Excluding ExtraOrd Items,0.08,0.01,-0.01,0.00,0.01
DPS - Common Stock Primary Issue,0.02,0.01,0,0,0
Diluted Normalised EPS,0.02,0.01,-0.01,0.00,0.01
