Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,19.93,13.26,15.32,18.22,38.45
Short Term Investments,5.71,6.27,10.03,9.14,2.05
Cash and Short Term Investments,25.63,19.53,25.35,27.35,40.49
"Accounts Receivable - Trade, Net",19.83,13.21,12.81,9.52,33.63
"Total Receivables, Net",19.83,23.70,26.44,13.81,58.26
Prepaid Expenses,3.65,3.13,2.47,3.34,1.82
"Other Current Assets, Total",0,0.00,4.62,6.20,8.23
Total Current Assets,49.13,46.40,58.93,50.71,108.88
"Property/Plant/Equipment, Total - Gross",0,52.50,53.65,76.34,128.75
"Accumulated Depreciation, Total",0,-30.71,-32.80,-38.91,-53.20
"Property/Plant/Equipment, Total - Net",26.45,21.79,20.85,37.44,75.55
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0,0,0.18,0.11,0.04
Long Term Investments,44.88,54.94,59.63,85.32,132.94
Total Assets,121.56,124.32,148.15,186.94,343.75
Accounts Payable,26.39,3.52,4.08,3.98,14.15
Accrued Expenses,0,6.17,11.73,9.13,10.11
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",2.71,2.59,17.43,21.52,26.01
Total Current Liabilities,30.92,33.13,39.74,43.80,94.18
Total Long Term Debt,20.59,19.80,19.45,44.61,122.18
Total Debt,22.40,26.44,25.96,53.78,166.10
Deferred Income Tax,0.27,0.22,0.36,0.53,3.57
"Other Liabilities, Total",0.36,0.22,0.09,1.13,0.23
Total Liabilities,52.01,53.71,60.62,91.60,222.11
"Common Stock, Total",51.29,51.29,63.41,63.41,63.41
Retained Earnings (Accumulated Deficit),18.51,16.47,21.11,28.86,56.77
Treasury Stock - Common,-0.24,-0.19,0.00,0,0
Unrealised Gain (Loss),0,3.58,3.68,3.71,2.36
"Other Equity, Total",0,-0.54,-0.66,-0.64,-0.90
Total Equity,69.55,70.61,87.53,95.34,121.64
Total Liabilities & Shareholders' Equity,121.56,124.32,148.15,186.94,343.75
Total Common Shares Outstanding,360.00,361.86,402.45,402.45,402.45
"Tangible Book Value per Share, Common Eq",0.19,0.20,0.22,0.24,0.30
