Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Sep 2016,30 Sep 2017,30 Sep 2018,30 Sep 2019,30 Sep 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,16.23,3.14,6.21,8.93,29.32
Depreciation/Depletion,6.55,6.01,5.85,6.61,20.87
Non-Cash Items,-8.43,1.96,0.58,-2.36,10.68
Cash Taxes Paid,1.11,0.71,0.86,0.63,-0.12
Changes in Working Capital,-0.96,-2.47,-2.35,3.90,-12.38
Cash from Operating Activities,13.38,8.64,10.32,17.14,48.56
Capital Expenditures,-4.81,-5.00,-7.10,-19.59,-22.49
"Other Investing Cash Flow Items, Total",-3.47,-4.26,-4.48,-18.82,11.98
Cash from Investing Activities,-8.28,-9.26,-11.58,-38.40,-10.52
Total Cash Dividends Paid,-1.81,0,-0.80,0.00,-3.07
"Issuance (Retirement) of Stock, Net",-0.24,0.00,13.64,0.00,0
Cash from Financing Activities,-9.84,-4.40,7.09,21.84,-20.17
Foreign Exchange Effects,0.03,-0.02,-0.05,0.06,-0.04
Net Change in Cash,-4.71,-5.04,5.78,0.63,17.83
