Fiscal Year,2016,2017,2018,2019,2020
Period Ended,30 Jun 2016,30 Jun 2017,30 Jun 2018,30 Jun 2019,30 Jun 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,23.86,25.71,0,0,0
Short Term Investments,0.85,10.43,0,0,0
Cash and Short Term Investments,24.71,36.14,28.61,15.40,35.17
"Accounts Receivable - Trade, Net",287.72,202.00,227.75,104.16,85.86
"Total Receivables, Net",350.12,267.29,228.66,104.83,86.61
Prepaid Expenses,7.24,5.56,5.79,4.81,3.49
"Other Current Assets, Total",5.03,0.63,4.90,9.84,1.05
Total Current Assets,625.59,491.64,439.41,234.36,213.28
"Property/Plant/Equipment, Total - Gross",903.68,993.66,0,0,0
"Accumulated Depreciation, Total",-300.56,-381.78,0,0,0
"Property/Plant/Equipment, Total - Net",603.11,611.89,577.09,490.24,456.30
"Goodwill, Net",8.71,9.15,0,0,0
"Intangibles, Net",9.13,8.73,12.37,5.87,2.26
Long Term Investments,14.73,9.01,4.85,5.45,4.30
Total Assets,1275.67,1145.01,1047.47,746.07,681.09
Accounts Payable,149.38,122.36,0,0,0
Accrued Expenses,37.40,20.61,0,0,0
Notes Payable/Short Term Debt,72.20,20.52,13.81,1.16,19.14
"Other Current liabilities, Total",47.21,49.12,12.09,30.96,13.45
Total Current Liabilities,596.91,427.83,332.40,255.19,210.44
Total Long Term Debt,229.27,313.75,388.71,316.87,319.43
Total Debt,592.19,549.50,502.11,363.14,367.59
Deferred Income Tax,15.82,14.57,15.03,16.01,13.26
"Other Liabilities, Total",9.27,10.08,5.64,4.21,4.58
Total Liabilities,856.04,769.48,743.45,589.11,548.67
"Common Stock, Total",83.09,108.06,108.06,108.06,108.06
Retained Earnings (Accumulated Deficit),336.96,265.49,195.78,49.63,25.29
Treasury Stock - Common,-0.92,-0.92,-0.92,-0.92,-0.92
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0.50,2.91,1.11,0.19,0.00
Total Equity,419.63,375.53,304.02,156.96,132.43
Total Liabilities & Shareholders' Equity,1275.67,1145.01,1047.47,746.07,681.09
Total Common Shares Outstanding,422.95,629.27,629.27,629.27,629.27
"Tangible Book Value per Share, Common Eq",0.95,0.57,0.46,0.24,0.21
