Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,PRESS,PRESS,PRESS
Cash,35.84,38.61,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,35.84,38.61,21.32,26.96,11.61
"Accounts Receivable - Trade, Net",286.75,137.44,177.77,163.03,153.90
"Total Receivables, Net",298.33,142.38,182.32,166.49,157.16
Prepaid Expenses,0.26,0.37,0,0,0
"Other Current Assets, Total",1.35,0.33,0,0,0.08
Total Current Assets,377.48,239.56,248.85,262.90,250.15
"Property/Plant/Equipment, Total - Gross",34.39,41.28,0,0,0
"Accumulated Depreciation, Total",-0.24,-5.70,0,0,0
"Property/Plant/Equipment, Total - Net",34.16,35.58,33.05,37.03,43.51
"Goodwill, Net",5.78,7.02,0,0,0
"Intangibles, Net",1.37,1.37,8.76,9.26,15.68
Long Term Investments,48.89,55.98,55.57,55.63,59.13
Total Assets,469.23,341.36,347.92,366.49,370.40
Accounts Payable,86.74,82.87,0,0,0
Accrued Expenses,53.00,74.10,0,0,0
Notes Payable/Short Term Debt,34.52,15.67,0,0,0
"Other Current liabilities, Total",49.34,23.57,4.26,1.51,3.41
Total Current Liabilities,225.53,199.80,232.00,244.98,239.70
Total Long Term Debt,10.29,17.97,14.36,21.26,17.15
Total Debt,46.75,37.23,23.32,31.81,64.23
Deferred Income Tax,9.34,6.03,4.22,5.38,5.98
"Other Liabilities, Total",10.27,10.03,10.30,9.34,11.41
Total Liabilities,267.32,248.58,278.38,299.80,298.93
"Common Stock, Total",0.55,0.55,0.55,0.55,0.55
Retained Earnings (Accumulated Deficit),3.42,-107.87,-128.63,-131.21,-128.93
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",1.64,3.80,1.32,1.05,3.55
Total Equity,201.92,92.78,69.54,66.69,71.47
Total Liabilities & Shareholders' Equity,469.23,341.36,347.92,366.49,370.40
Total Common Shares Outstanding,4233.19,4233.19,4233.19,4233.19,4233.19
"Tangible Book Value per Share, Common Eq",0.05,0.02,0.01,0.01,0.01
