Fiscal Year,2011,2012,2013,2014,2015
Period Ended,31 Dec 2011,31 Dec 2012,31 Dec 2013,31 Dec 2014,31 Dec 2015
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,3319.69,2216.66,2822.48,2163.74,155.23
Total Revenue,3319.69,2216.66,2822.48,2163.74,155.23
"Selling/General/Admin. Expenses, Total",163.30,171.17,306.35,327.71,1356.35
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),-0.87,0,-0.12,-0.15,-275.44
"Other Operating Expenses, Total",-4.94,-17.02,-8.17,-10.27,-6.04
Total Operating Expense,3108.67,2128.80,2750.74,2348.84,1308.37
Operating Income,211.03,87.86,71.74,-185.10,-1153.15
"Interest Inc.(Exp.),Net-Non-Op., Total",0,0,0,0,0
"Other, Net",0,0,0,0,0
Net Income Before Taxes,211.03,87.86,71.74,-185.10,-1153.15
Provision for Income Taxes,36.74,10.75,9.15,-23.49,0.00
Net Income After Taxes,174.29,77.11,62.59,-161.61,-1153.15
Net Income Before Extra. Items,174.29,77.11,62.59,-161.61,-1153.15
Net Income,174.29,77.11,62.59,-161.61,-1153.15
Income Available to Com Excl ExtraOrd,174.29,77.11,62.59,-161.61,-1153.15
Income Available to Com Incl ExtraOrd,174.29,77.11,62.59,-161.61,-1153.15
Diluted Net Income,174.29,77.11,62.59,-161.61,-1153.15
Diluted Weighted Average Shares,861.57,861.57,968.01,1011.57,1011.57
Diluted EPS Excluding ExtraOrd Items,0.20,0.09,0.06,-0.16,-1.14
DPS - Common Stock Primary Issue,0.04,0.00,0.00,0.00,0
Diluted Normalised EPS,0.20,0.09,0.06,-0.15,-1.32
