Fiscal Year,2011,2012,2013,2014,2015
Period Ended,31 Dec 2011,31 Dec 2012,31 Dec 2013,31 Dec 2014,31 Dec 2015
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,211.03,87.86,71.74,-185.10,-1153.15
Depreciation/Depletion,15.76,20.86,31.68,35.62,31.39
Non-Cash Items,57.21,63.75,111.80,230.42,1059.13
Cash Taxes Paid,41.36,25.59,14.02,8.66,0.00
Changes in Working Capital,8.84,-30.94,-412.88,-241.90,-401.39
Cash from Operating Activities,295.98,144.60,-194.42,-157.68,-461.81
Capital Expenditures,-389.30,-178.90,-48.23,-19.13,-6.75
"Other Investing Cash Flow Items, Total",0.11,0.93,0.64,2.80,-26.10
Cash from Investing Activities,-389.18,-177.97,-47.59,-16.33,-32.85
Total Cash Dividends Paid,-34.76,-30.62,0.00,0,0
"Issuance (Retirement) of Stock, Net",0,0,89.95,0,0
Cash from Financing Activities,-96.96,104.47,282.04,-73.68,470.42
Foreign Exchange Effects,-1.44,0.81,-1.03,-0.40,-0.07
Net Change in Cash,-191.60,71.91,39.00,-248.09,-24.31
