Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,PRESS
Revenue,38.01,38.06,37.67,48.02,42.21
Total Revenue,38.01,38.06,37.67,48.02,42.21
"Selling/General/Admin. Expenses, Total",5.96,5.87,5.70,6.05,6.19
Depreciation/Amortisation,3.12,1.93,2.60,2.87,2.82
Unusual Expense (Income),0,0.00,9.94,12.94,5.09
"Other Operating Expenses, Total",2.76,2.63,6.70,3.11,0.28
Total Operating Expense,36.18,35.38,56.40,59.94,43.62
Operating Income,1.83,2.68,-18.73,-11.92,-1.42
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.81,-0.80,-0.76,-0.79,-0.67
"Other, Net",0,0,0,0,0
Net Income Before Taxes,1.02,1.88,-19.49,-12.71,-2.09
Provision for Income Taxes,0.40,0.46,0.49,0.75,0.79
Net Income After Taxes,0.62,1.42,-19.98,-13.46,-2.88
Net Income Before Extra. Items,0.09,0.92,-20.00,-13.77,-3.12
Net Income,0.09,0.92,-20.00,-13.77,-3.12
Income Available to Com Excl ExtraOrd,0.09,0.92,-20.00,-13.77,-3.12
Income Available to Com Incl ExtraOrd,0.09,0.92,-20.00,-13.77,-3.12
Diluted Net Income,0.09,0.92,-20.00,-13.77,-3.12
Diluted Weighted Average Shares,1324.46,1324.46,1423.89,1556.46,1556.46
Diluted EPS Excluding ExtraOrd Items,0.00,0.00,-0.01,-0.01,-0.00
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,0.00,0.00,-0.01,-0.00,0.00
