Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,ARS,Interim Report,ARS,ARS,PRESS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,2.07,0.85,1.17,1.84,1.63
"Accounts Receivable - Trade, Net",5.59,6.46,8.13,9.06,5.84
"Total Receivables, Net",21.87,8.59,8.87,10.31,9.02
Prepaid Expenses,1.13,0,1.00,0.88,0.43
"Other Current Assets, Total",0,0.61,0,0.00,0.00
Total Current Assets,36.22,13.17,15.01,17.16,14.84
"Property/Plant/Equipment, Total - Gross",0,0,0,0,0
"Accumulated Depreciation, Total",0,0,0,0,0
"Property/Plant/Equipment, Total - Net",64.49,59.55,59.10,61.08,53.62
"Goodwill, Net",0.18,0.18,0.18,0.18,0.18
"Intangibles, Net",0,0,0,0,0
Long Term Investments,4.33,9.69,1.52,0.16,0.16
Total Assets,105.21,99.86,85.99,78.57,68.79
Accounts Payable,7.39,4.80,7.03,10.08,6.59
Accrued Expenses,0,0,0,0,0
Notes Payable/Short Term Debt,0.00,3.46,5.77,5.89,0
"Other Current liabilities, Total",5.17,3.69,5.01,5.55,6.36
Total Current Liabilities,33.02,33.22,34.66,37.69,28.98
Total Long Term Debt,4.24,0.67,0.19,1.81,5.90
Total Debt,24.70,25.41,22.81,23.88,21.93
Deferred Income Tax,0.05,0.05,0.05,0.12,0.12
"Other Liabilities, Total",3.82,3.23,3.19,2.87,1.93
Total Liabilities,47.43,43.63,44.74,49.67,44.26
"Common Stock, Total",46.76,46.76,50.59,50.59,50.59
Retained Earnings (Accumulated Deficit),13.21,12.00,-8.07,-21.84,-24.96
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),-0.04,-0.04,0.00,0,0
"Other Equity, Total",-2.13,-2.49,-1.27,0.16,-1.09
Total Equity,57.79,56.23,41.24,28.90,24.53
Total Liabilities & Shareholders' Equity,105.21,99.86,85.99,78.57,68.79
Total Common Shares Outstanding,1324.46,1324.46,1556.46,1556.46,1556.46
"Tangible Book Value per Share, Common Eq",0.04,0.04,0.03,0.02,0.02
