Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Cash,0,0,0,0,0
Short Term Investments,0,0,0,0,0
Cash and Short Term Investments,53.91,53.58,41.63,45.50,44.18
"Accounts Receivable - Trade, Net",1.21,1.17,1.05,1.09,0.82
"Total Receivables, Net",1.63,1.57,1.16,1.10,1.14
Prepaid Expenses,1.05,1.00,0.96,1.00,0.97
"Other Current Assets, Total",0.37,0.26,0.29,0.20,0.35
Total Current Assets,57.43,56.85,44.45,48.22,47.06
"Property/Plant/Equipment, Total - Gross",298.95,299.36,299.04,303.66,302.62
"Accumulated Depreciation, Total",-23.24,-32.73,-40.92,-49.85,-58.08
"Property/Plant/Equipment, Total - Net",275.71,266.63,258.12,253.81,244.54
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",2.27,2.08,1.93,1.77,1.73
Long Term Investments,0,0,0,0.00,0
Total Assets,336.79,326.53,305.28,304.83,293.95
Accounts Payable,0.29,0.74,0.32,0.27,0.37
Accrued Expenses,4.77,4.85,4.42,3.08,3.22
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",31.51,29.14,31.21,33.26,32.25
Total Current Liabilities,36.57,34.72,153.70,47.83,44.81
Total Long Term Debt,143.00,135.00,0.00,108.73,102.27
Total Debt,143.00,135.00,117.75,118.53,111.24
Deferred Income Tax,5.51,7.66,7.92,7.95,7.92
"Other Liabilities, Total",0,0,0.64,0.71,0.47
Total Liabilities,185.08,177.38,162.26,165.22,155.46
"Common Stock, Total",99.25,99.25,99.25,99.25,99.25
Retained Earnings (Accumulated Deficit),52.46,49.90,43.77,40.35,39.23
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",0.00,0.00,0.00,0.00,0.00
Total Equity,151.71,149.15,143.02,139.61,138.48
Total Liabilities & Shareholders' Equity,336.79,326.53,305.28,304.83,293.95
Total Common Shares Outstanding,415.36,415.36,415.36,415.36,415.36
"Tangible Book Value per Share, Common Eq",0.36,0.35,0.34,0.33,0.33
