Fiscal Year,2017,2018,2019,2020,2021
Period Ended,28 Feb 2017,28 Feb 2018,28 Feb 2019,29 Feb 2020,28 Feb 2021
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,PROSPECTUS,ARS,ARS,ARS,ARS
Revenue,0.00,0.00,20.63,25.93,47.72
Total Revenue,0.00,0.00,20.63,25.93,47.72
"Selling/General/Admin. Expenses, Total",0.23,0.17,5.89,2.92,5.90
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),0.19,0.23,0.76,0.93,-0.03
"Other Operating Expenses, Total",-0.17,-0.42,-0.43,3.84,7.22
Total Operating Expense,0.25,-0.02,13.81,16.35,24.30
Operating Income,-0.25,0.02,6.82,9.58,23.42
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.00,-0.38,-0.01,-0.04,-0.06
"Other, Net",0,0,0,0,0
Net Income Before Taxes,-0.25,-0.36,6.81,9.54,23.36
Provision for Income Taxes,0.00,0.05,1.91,3.04,5.11
Net Income After Taxes,-0.25,-0.41,4.89,6.50,18.25
Net Income Before Extra. Items,-0.25,-0.41,4.89,6.50,18.25
Net Income,0.08,-0.41,4.89,6.50,18.25
Income Available to Com Excl ExtraOrd,-0.25,-0.41,4.89,6.50,18.25
Income Available to Com Incl ExtraOrd,0.08,-0.41,4.89,6.50,18.25
Diluted Net Income,0.08,-0.41,4.89,6.50,18.25
Diluted Weighted Average Shares,425.00,425.00,425.00,494.77,500.00
Diluted EPS Excluding ExtraOrd Items,-0.00,-0.00,0.01,0.01,0.04
DPS - Common Stock Primary Issue,0,0,0.00,0.00,0.01
Diluted Normalised EPS,-0.00,-0.00,0.01,0.01,0.04
