Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,254.63,107.52,243.60,247.07,422.40
Depreciation/Depletion,82.80,95.24,103.92,136.00,143.67
Non-Cash Items,93.31,102.09,96.27,148.55,-23.62
Cash Taxes Paid,40.77,80.18,72.16,95.86,25.80
Changes in Working Capital,-69.29,-166.22,-189.86,-147.49,-161.25
Cash from Operating Activities,362.94,140.47,255.98,386.11,383.14
Capital Expenditures,-195.15,-238.26,-237.25,-315.13,-271.01
"Other Investing Cash Flow Items, Total",19.95,1.43,2.25,-9.13,254.90
Cash from Investing Activities,-175.20,-236.83,-235.00,-324.26,-16.10
Total Cash Dividends Paid,-6.46,-12.53,-6.55,-27.29,-14.89
"Issuance (Retirement) of Stock, Net",0,-5.22,-1.20,-1.69,46.38
Cash from Financing Activities,2.98,-1.18,-83.61,-22.37,-350.78
Foreign Exchange Effects,-0.41,-3.08,-3.63,1.60,0.31
Net Change in Cash,190.32,-100.62,-66.26,41.09,16.56
