Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,-6.70,-8.15,-5.05,17.03,-5.15
Depreciation/Depletion,0.18,0,0.24,0.10,0.00
Non-Cash Items,3.59,3.25,1.02,-19.60,3.65
Cash Taxes Paid,0.02,0.05,0.05,0.07,0.02
Changes in Working Capital,-2.05,2.33,0.25,-0.35,0.26
Cash from Operating Activities,-4.98,-2.57,-3.54,-2.82,-1.24
Capital Expenditures,-4.18,-2.71,-1.58,-0.45,-0.00
"Other Investing Cash Flow Items, Total",0.06,0.10,0.00,2.81,0.00
Cash from Investing Activities,-4.13,-2.61,-1.58,2.36,-0.00
Total Cash Dividends Paid,0,0,0,0,0
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,1.13,3.94,5.02,0.55,1.25
Foreign Exchange Effects,0,0,0,0,0
Net Change in Cash,-7.98,-1.25,-0.09,0.09,0.01
