Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,3.58,1.94,2.22,2.36,2.06
Total Revenue,3.58,1.94,2.22,2.36,2.06
"Selling/General/Admin. Expenses, Total",4.09,3.17,2.97,2.69,1.66
Depreciation/Amortisation,0.00,0,0,0,0
Unusual Expense (Income),1.56,2.64,0,-20.96,0.00
"Other Operating Expenses, Total",-0.10,-0.04,-0.02,-0.11,-0.08
Total Operating Expense,10.25,9.21,6.73,-15.72,3.25
Operating Income,-6.67,-7.26,-4.51,18.08,-1.19
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.03,-0.05,-0.23,-1.03,-3.95
"Other, Net",0,-0.84,-0.31,-0.02,-0.00
Net Income Before Taxes,-6.70,-8.15,-5.05,17.03,-5.15
Provision for Income Taxes,0.05,0.06,0.06,0.03,0.06
Net Income After Taxes,-6.74,-8.21,-5.11,17.01,-5.20
Net Income Before Extra. Items,-6.74,-6.47,-4.86,17.06,-5.20
Net Income,-6.74,-6.47,-4.86,17.06,-5.20
Income Available to Com Excl ExtraOrd,-6.74,-6.47,-4.86,17.06,-5.20
Income Available to Com Incl ExtraOrd,-6.74,-6.47,-4.86,17.06,-5.20
Diluted Net Income,-6.74,-6.47,-4.86,17.06,-5.20
Diluted Weighted Average Shares,347.95,347.95,347.95,347.95,347.95
Diluted EPS Excluding ExtraOrd Items,-0.02,-0.02,-0.01,0.05,-0.01
DPS - Common Stock Primary Issue,0,0,0,0,0
Diluted Normalised EPS,-0.02,-0.01,-0.01,0.01,-0.01
