Fiscal Year,2014,2015,2016,2017,2018
Period Ended,30 Jun 2014,30 Jun 2015,30 Jun 2016,30 Jun 2017,30 Jun 2018
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,0.00,0.00,0.00,0.00,0.00
Total Revenue,0.00,0.00,0.00,0.00,0.00
"Selling/General/Admin. Expenses, Total",1.04,1.68,1.66,2.66,5.46
Depreciation/Amortisation,0,0,0,0,0
Unusual Expense (Income),3.63,11.48,0.02,0.00,-4.94
"Other Operating Expenses, Total",0.23,-0.75,0.04,1.52,0.00
Total Operating Expense,6.17,11.64,1.58,4.32,0.10
Operating Income,-6.17,-11.64,-1.58,-4.32,-0.10
"Interest Inc.(Exp.),Net-Non-Op., Total",-0.12,-0.57,-0.79,-0.49,-1.03
"Other, Net",-0.00,-0.28,0,0,0
Net Income Before Taxes,-6.30,-12.50,-2.37,-4.80,-1.13
Provision for Income Taxes,0.00,-1.71,1.71,0.00,0.00
Net Income After Taxes,-6.30,-10.79,-4.08,-4.80,-1.13
Net Income Before Extra. Items,-6.30,-10.79,-4.08,-4.80,-1.13
Net Income,-6.30,-10.79,-4.08,-4.80,-1.13
Income Available to Com Excl ExtraOrd,-6.30,-10.79,-4.08,-4.80,-1.13
Income Available to Com Incl ExtraOrd,-6.30,-10.79,-4.08,-4.80,-1.13
Diluted Net Income,-6.30,-10.79,-4.08,-4.80,-1.13
Diluted Weighted Average Shares,281.68,390.22,393.93,480.76,564.31
Diluted EPS Excluding ExtraOrd Items,-0.02,-0.03,-0.01,-0.01,-0.00
DPS - Common Stock Primary Issue,0,0.00,0,0,0
Diluted Normalised EPS,-0.01,-0.01,-0.01,-0.01,-0.01
