Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,165.72,112.62,30.08,25.05,25.37
Total Revenue,165.72,112.62,30.08,25.05,25.37
"Selling/General/Admin. Expenses, Total",8.74,4.02,3.07,2.68,2.67
Depreciation/Amortisation,0,1.42,0.80,0,0
Unusual Expense (Income),0.79,0.95,0.00,-0.02,0.00
"Other Operating Expenses, Total",-0.67,1.03,0.28,-1.13,-1.08
Total Operating Expense,157.72,102.77,33.20,26.32,26.64
Operating Income,8.00,9.85,-3.12,-1.27,-1.27
"Interest Inc.(Exp.),Net-Non-Op., Total",0,-0.02,0.00,-0.01,-0.01
"Other, Net",0,0,0,0,0
Net Income Before Taxes,8.00,9.83,-3.12,-1.28,-1.29
Provision for Income Taxes,0.92,1.22,0.61,0.07,-0.06
Net Income After Taxes,7.08,8.61,-3.72,-1.36,-1.23
Net Income Before Extra. Items,6.07,8.45,-3.69,-1.36,-1.27
Net Income,6.07,8.45,-3.69,-1.36,-1.27
Income Available to Com Excl ExtraOrd,6.07,8.45,-3.69,-1.36,-1.27
Income Available to Com Incl ExtraOrd,6.07,8.45,-3.69,-1.36,-1.27
Diluted Net Income,6.07,8.45,-3.69,-1.36,-1.27
Diluted Weighted Average Shares,324.12,324.12,322.87,321.34,319.12
Diluted EPS Excluding ExtraOrd Items,0.02,0.03,-0.01,-0.00,-0.00
DPS - Common Stock Primary Issue,0.00,0.01,0.00,0,0
Diluted Normalised EPS,0.02,0.03,-0.01,-0.00,-0.00
