Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,8.00,9.83,-3.12,-1.28,-1.29
Depreciation/Depletion,1.07,0.39,0.25,0.32,0.32
Non-Cash Items,-2.32,3.04,-0.68,-1.83,-2.93
Cash Taxes Paid,0.19,0.42,1.75,-0.66,0.00
Changes in Working Capital,1.24,1.25,-4.18,4.80,-1.92
Cash from Operating Activities,8.95,15.41,-7.17,2.04,-5.65
Capital Expenditures,-1.35,-0.03,-0.02,-0.17,-0.00
"Other Investing Cash Flow Items, Total",-2.97,-6.48,-1.61,-10.10,-2.60
Cash from Investing Activities,-4.32,-6.52,-1.63,-10.27,-2.61
Total Cash Dividends Paid,0.00,0.00,-2.42,0.00,0
"Issuance (Retirement) of Stock, Net",-0.02,0.00,-0.06,-0.18,-0.23
Cash from Financing Activities,0.25,-0.41,-2.48,-0.83,-0.89
Foreign Exchange Effects,0.08,0.07,-0.01,0.04,-0.09
Net Change in Cash,4.97,8.55,-11.29,-9.01,-9.23
