Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,889.52,825.80,814.87,497.04,561.79
Total Revenue,889.52,825.80,814.87,497.04,561.79
"Selling/General/Admin. Expenses, Total",225.08,232.47,227.82,120.27,130.99
Depreciation/Amortisation,31.39,32.37,34.67,31.00,33.88
Unusual Expense (Income),-59.38,0.60,0,0,0
"Other Operating Expenses, Total",110.77,97.05,102.32,64.54,67.96
Total Operating Expense,762.35,789.68,807.94,476.87,510.37
Operating Income,127.17,36.13,6.93,20.17,51.41
"Interest Inc.(Exp.),Net-Non-Op., Total",3.45,4.52,6.37,2.59,2.99
"Other, Net",0,0,0,0,0
Net Income Before Taxes,130.62,40.65,13.30,22.76,54.40
Provision for Income Taxes,14.24,10.40,4.64,4.48,12.15
Net Income After Taxes,116.37,30.25,8.66,18.28,42.25
Net Income Before Extra. Items,120.39,32.39,8.13,18.17,42.07
Net Income,120.39,32.39,8.13,27.58,27.74
Income Available to Com Excl ExtraOrd,120.39,32.39,8.13,18.17,42.07
Income Available to Com Incl ExtraOrd,120.39,32.39,8.13,27.58,27.74
Diluted Net Income,120.39,32.39,8.13,27.58,27.74
Diluted Weighted Average Shares,561.72,564.59,570.94,575.27,575.27
Diluted EPS Excluding ExtraOrd Items,0.21,0.06,0.01,0.03,0.07
DPS - Common Stock Primary Issue,0.05,0.05,0.05,0.05,0.05
Diluted Normalised EPS,0.13,0.06,0.02,0.03,0.07
