Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,Interim Report,ARS,ARS,ARS,ARS
Cash,89.69,0,35.89,46.80,75.76
Short Term Investments,3.97,0.00,4.68,0.00,0
Cash and Short Term Investments,108.87,136.45,64.94,73.17,81.36
"Accounts Receivable - Trade, Net",96.91,97.29,105.04,106.85,77.54
"Total Receivables, Net",122.52,121.61,125.86,126.70,92.18
Prepaid Expenses,7.46,0,8.32,12.15,5.90
"Other Current Assets, Total",1.29,57.25,1.39,1.53,295.35
Total Current Assets,361.11,384.67,320.11,347.87,519.94
"Property/Plant/Equipment, Total - Gross",670.94,0,780.24,855.50,534.67
"Accumulated Depreciation, Total",-381.36,0,-423.56,-458.62,-270.26
"Property/Plant/Equipment, Total - Net",289.59,317.45,356.68,396.88,264.40
"Goodwill, Net",0,0,0,0,0
"Intangibles, Net",0.00,0.00,0.13,0.11,0.16
Long Term Investments,101.79,100.58,88.50,81.43,78.50
Total Assets,772.41,821.46,783.63,850.47,868.08
Accounts Payable,65.19,73.38,75.95,88.90,43.09
Accrued Expenses,40.09,0,36.09,37.31,38.06
Notes Payable/Short Term Debt,32.64,44.15,52.55,58.52,6.11
"Other Current liabilities, Total",25.02,75.63,33.18,31.70,179.68
Total Current Liabilities,165.39,199.42,202.64,231.74,276.15
Total Long Term Debt,51.13,62.72,52.55,91.83,56.01
Total Debt,86.23,113.14,109.97,165.66,71.33
Deferred Income Tax,12.49,13.54,10.43,11.58,7.04
"Other Liabilities, Total",15.24,15.22,12.99,15.01,11.96
Total Liabilities,245.34,284.53,272.23,342.89,351.77
"Common Stock, Total",263.09,272.01,277.04,277.04,277.04
Retained Earnings (Accumulated Deficit),263.74,264.92,245.02,242.12,236.97
Treasury Stock - Common,0,0,0,0,0
Unrealised Gain (Loss),0.24,0,0.39,0.22,0.00
"Other Equity, Total",0.00,0,-11.05,-11.80,2.30
Total Equity,527.07,536.93,511.40,507.59,516.31
Total Liabilities & Shareholders' Equity,772.41,821.46,783.63,850.47,868.08
Total Common Shares Outstanding,561.85,569.22,575.27,575.27,575.27
"Tangible Book Value per Share, Common Eq",0.94,0.94,0.89,0.88,0.90
