Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,130.62,40.65,13.30,33.08,54.40
Depreciation/Depletion,32.76,32.37,34.67,45.31,48.06
Non-Cash Items,-52.75,-3.08,0.48,-5.88,20.55
Cash Taxes Paid,-1.70,10.77,10.27,9.26,9.45
Changes in Working Capital,-8.81,-8.02,-27.52,-13.13,-27.03
Cash from Operating Activities,101.82,61.92,20.93,59.38,95.98
Capital Expenditures,-74.24,-60.66,-74.38,-35.47,-31.15
"Other Investing Cash Flow Items, Total",8.04,23.72,5.32,13.87,12.21
Cash from Investing Activities,-66.20,-36.94,-69.07,-21.61,-18.94
Total Cash Dividends Paid,-28.09,-19.21,-23.44,-28.76,-28.76
"Issuance (Retirement) of Stock, Net",0.31,0,0,0,0
Cash from Financing Activities,-39.84,7.46,-24.28,-24.75,-33.39
Foreign Exchange Effects,0.08,-0.88,-3.78,-0.11,3.29
Net Change in Cash,-4.15,31.55,-76.20,12.91,46.94
