Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,7.41,2.81,3.68,3.56,2.89
Depreciation/Depletion,0.50,0.51,0.53,0.66,0.78
Non-Cash Items,-2.77,0.17,-0.17,-0.22,0.13
Cash Taxes Paid,0.68,1.17,1.10,0.55,0.50
Changes in Working Capital,-5.36,-1.41,-2.85,-0.65,0.99
Cash from Operating Activities,0.41,2.63,1.68,3.80,5.10
Capital Expenditures,-0.96,-1.22,-1.10,-0.95,-0.80
"Other Investing Cash Flow Items, Total",-2.47,-2.60,-0.69,-0.36,0.30
Cash from Investing Activities,-3.43,-3.82,-1.79,-1.31,-0.50
Total Cash Dividends Paid,-0.80,-0.80,-0.40,-0.40,-0.40
"Issuance (Retirement) of Stock, Net",0,0,0,0,0
Cash from Financing Activities,-1.43,-2.41,0.94,-1.26,-1.57
Foreign Exchange Effects,-0.56,0.77,-0.09,0.16,0.10
Net Change in Cash,-5.01,-2.83,0.75,1.39,3.14
