Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,83.24,52.31,20.07,27.44,80.77
Depreciation/Depletion,8.78,8.56,10.90,11.82,27.32
Non-Cash Items,-100.64,-31.82,-1.37,0.14,-32.55
Cash Taxes Paid,18.62,27.74,4.33,12.20,30.09
Changes in Working Capital,26.13,5.55,-68.90,32.10,-100.43
Cash from Operating Activities,17.52,34.61,-39.30,71.61,-24.81
Capital Expenditures,-11.03,-52.81,-39.72,-112.18,-12.43
"Other Investing Cash Flow Items, Total",473.42,74.70,168.96,67.62,1.08
Cash from Investing Activities,462.39,21.89,129.24,-44.55,-11.35
Total Cash Dividends Paid,0,-51.13,0.00,0,0
"Issuance (Retirement) of Stock, Net",0,0,0.00,0,0
Cash from Financing Activities,-349.42,-146.71,-82.68,76.46,-3.87
Foreign Exchange Effects,0.04,0.74,-0.06,0.11,-0.16
Net Change in Cash,130.52,-89.48,7.20,103.63,-40.19
