Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Period Length,12 Months,12 Months,12 Months,12 Months,12 Months
Source,ARS,ARS,ARS,ARS,ARS
Revenue,92.33,90.83,89.68,63.13,158.20
Total Revenue,92.33,90.83,89.68,63.13,158.20
"Selling/General/Admin. Expenses, Total",8.62,8.24,5.23,5.48,8.68
Depreciation/Amortisation,2.11,1.63,3.54,4.37,3.10
Unusual Expense (Income),-130.06,-6.50,-0.02,-0.01,-0.01
"Other Operating Expenses, Total",11.15,-6.29,16.90,-11.19,13.28
Total Operating Expense,-78.92,31.39,64.32,34.39,112.38
Operating Income,171.24,59.43,25.36,28.74,45.82
"Interest Inc.(Exp.),Net-Non-Op., Total",-27.94,-2.28,-5.29,-1.30,34.95
"Other, Net",0,0,0,0,0
Net Income Before Taxes,143.31,57.15,20.07,27.44,80.77
Provision for Income Taxes,34.95,25.06,1.55,1.52,14.92
Net Income After Taxes,108.36,32.10,18.52,25.93,65.85
Net Income Before Extra. Items,113.25,16.91,7.16,18.56,57.06
Net Income,64.18,19.80,7.16,18.56,57.06
Income Available to Com Excl ExtraOrd,113.25,16.91,7.16,18.56,57.06
Income Available to Com Incl ExtraOrd,64.18,19.80,7.16,18.56,57.06
Diluted Net Income,64.18,19.80,7.16,18.56,57.06
Diluted Weighted Average Shares,51.23,61.53,71.23,71.23,71.23
Diluted EPS Excluding ExtraOrd Items,2.21,0.27,0.10,0.26,0.80
DPS - Common Stock Primary Issue,0,0,0,0,0.15
Diluted Normalised EPS,0.29,0.22,0.10,0.26,0.80
