Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,Interim Report,ARS,ARS,PRESS
Cash,0,82.23,187.75,235.42,0
Short Term Investments,0,10.13,9.60,12.85,12.63
Cash and Short Term Investments,48.72,92.35,197.35,248.26,346.67
"Accounts Receivable - Trade, Net",21.00,47.10,2.05,9.85,3.89
"Total Receivables, Net",23.43,47.10,5.22,14.94,3.89
Prepaid Expenses,2.12,0,14.40,20.19,0
"Other Current Assets, Total",16.18,4.32,9.37,4.66,17.39
Total Current Assets,133.41,171.97,259.31,391.74,470.31
"Property/Plant/Equipment, Total - Gross",26.00,0,19.23,45.69,0
"Accumulated Depreciation, Total",-9.23,0,-11.76,-10.75,0
"Property/Plant/Equipment, Total - Net",16.77,7.56,7.47,34.95,40.58
"Goodwill, Net",1.02,0,0.69,0.69,0
"Intangibles, Net",5.20,13.44,8.78,8.48,8.89
Long Term Investments,3.22,1.97,2.24,7.08,32.77
Total Assets,160.18,195.78,278.93,457.60,578.50
Accounts Payable,0,0,3.20,10.33,0
Accrued Expenses,0,0,43.13,59.35,0
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0
"Other Current liabilities, Total",21.26,11.76,66.84,133.08,45.61
Total Current Liabilities,63.97,63.05,115.22,206.66,223.51
Total Long Term Debt,4.72,2.04,0.00,8.85,5.53
Total Debt,7.36,7.40,2.05,12.74,9.48
Deferred Income Tax,2.83,3.90,1.57,5.44,7.85
"Other Liabilities, Total",0,0,0,0,0
Total Liabilities,69.60,66.28,113.82,219.02,234.51
"Common Stock, Total",20.62,19.74,20.62,20.62,10.03
Retained Earnings (Accumulated Deficit),68.86,109.76,146.69,228.63,333.96
Treasury Stock - Common,-0.45,0,-2.01,-10.59,0
Unrealised Gain (Loss),0,0,0,0,0
"Other Equity, Total",1.56,0,-0.18,-0.08,0
Total Equity,90.59,129.50,165.11,238.58,343.99
Total Liabilities & Shareholders' Equity,160.18,195.78,278.93,457.60,578.50
Total Common Shares Outstanding,550.46,550.09,544.10,544.10,544.10
"Tangible Book Value per Share, Common Eq",0.15,0.21,0.29,0.42,0.62
