Fiscal Year,2016,2017,2018,2019,2020
Period Ended,31 Dec 2016,31 Dec 2017,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,ARS,ARS,ARS,ARS,PRESS
Net Income/Starting Line,50.93,67.76,85.37,119.35,189.14
Depreciation/Depletion,1.68,3.17,1.82,5.17,5.76
Non-Cash Items,-2.08,4.30,2.72,-0.56,-2.23
Cash Taxes Paid,4.20,16.57,15.00,38.99,47.57
Changes in Working Capital,-31.38,-19.37,59.71,-36.57,-34.72
Cash from Operating Activities,20.20,57.21,150.31,87.70,158.28
Capital Expenditures,-12.29,-2.59,-2.59,-16.54,-11.48
"Other Investing Cash Flow Items, Total",0.36,-9.15,1.33,-5.90,-23.07
Cash from Investing Activities,-11.93,-11.74,-1.26,-22.45,-34.55
Total Cash Dividends Paid,-7.71,-16.51,-27.50,-6.53,-27.21
"Issuance (Retirement) of Stock, Net",0.00,-0.43,-1.18,-8.58,0.00
Cash from Financing Activities,-0.22,-20.05,-34.22,-17.02,-30.82
Foreign Exchange Effects,-0.14,-1.16,-0.07,-0.57,0.03
Net Change in Cash,7.91,24.26,114.77,47.66,92.95
